uniprot,subcell_location,subcell_refs
Q5MAI5,Cytoplasm,5
O76039,Nucleus,16
O76039,Cilium basal body,30
O76039,Centrosome,30
P49759,Nucleus,
P49760,Nucleus,18
P49760,Nucleus,20
P49760,Nucleus speckle,20
P49761,Nucleus,
P49761,Cytoplasm,12
P49761,Acrosome,12
P49761,Nucleus speckle,
Q9HAZ1,Nucleus,7
Q13627,Nucleus,21
Q13627,Nucleus,28
Q13627,Nucleus speckle,11
Q9Y463,Nucleus,
Q92630,Cytoplasm,
Q92630,Nucleus,
O43781,Nucleus,5
O43781,Nucleus,7
O43781,Nucleus,10
O43781,Cytoplasm,10
O43781,Nucleus speckle,10
O43781,Cytoplasmic granule,7
O43781,Cytoplasmic granule,8
O43781,Cytoplasmic granule,10
O43781,Centrosome,10
Q9NR20,Cytoplasm,5
Q9NR20,Cytoplasm,7
Q9NR20,Nucleus,7
P49841,Cytoplasm,47
P49841,Nucleus,
P49841,Cell membrane,
Q86Z02,Nucleus,11
Q86Z02,Nucleus,12
Q86Z02,Nucleus,14
Q86Z02,Nucleus,15
Q86Z02,Nucleus,17
Q86Z02,Cytoplasm,11
Q86Z02,Cytoplasm,14
Q86Z02,Cytoplasm,15
Q86Z02,Cytoplasm,17
Q86Z02,Nucleus speckle,12
Q9H2X6,PML body,39
Q9H2X6,Cytoplasm,
Q9H422,Cytoplasm,7
Q9H422,Nucleus,7
Q8NE63,Cytoplasm,1
Q9UPZ9,Nucleus,7
Q9UPZ9,Nucleus,10
Q9UPZ9,Cytosol,2
Q9UPZ9,Cilium,11
Q9UPZ9,Cilium basal body,3
Q9UPZ9,Cytoplasm,8
P20794,Nucleus,
P20794,Centrosome,
P20794,Spindle,
P20794,Midbody,
P20794,Photoreceptor outer segment,1
P20794,Photoreceptor inner segment,
P28482,Spindle,20
P28482,Nucleus,
P28482,Centrosome,
P28482,Cytoplasm,
P28482,Caveola,22
P53779,Cytoplasm,17
P53779,Membrane,17
P53779,Nucleus,17
P53779,Mitochondrion,17
Q15759,Cytoplasm,4
Q15759,Nucleus,4
P53778,Cytoplasm,
P53778,Nucleus,
P53778,Mitochondrion,
Q16539,Cytoplasm,60
Q16539,Nucleus,60
Q8TD08,Cilium basal body,19
Q8TD08,Tight junction,19
Q8TD08,Centriole,19
Q8TD08,Autophagosome,15
Q8TD08,Golgi apparatus,16
Q8TD08,Nucleus,11
Q8TD08,Nucleus,13
Q8TD08,Cytoplasm,11
Q8TD08,Cytoplasm,13
Q8TD08,Spindle,3
P27361,Cytoplasm,
P27361,Nucleus,
P27361,Caveola,11
P31152,Cytoplasm,3
P31152,Nucleus,3
Q16659,Cytoplasm,5
Q16659,Nucleus,5
Q13164,Cytoplasm,
Q13164,Nucleus,
Q13164,PML body,
P45983,Cytoplasm,33
P45983,Nucleus,33
P45984,Cytoplasm,14
P45984,Nucleus,14
Q9UQ07,Cytoplasm,2
Q9UQ07,Cilium,2
Q9UQ07,Nucleus,2
Q9UBE8,Nucleus,4
Q9UBE8,Cytoplasm,4
Q13523,Nucleus,
Q96SB4,Cytoplasm,
Q96SB4,Nucleus,
Q96SB4,Nucleus matrix,
Q96SB4,Microsome,
P78362,Cytoplasm,
P78362,Nucleus,
Q96PY6,Nucleus,9
Q96PY6,Nucleus,24
Q96PY6,Centrosome,6
Q96PY6,Cytoplasm,12
Q8NG66,Nucleus,5
Q8NG66,Nucleolus,7
P51955,Nucleus,
P51955,Nucleolus,17
P51955,Cytoplasm,
P51955,Centrosome,15
P51955,Centrosome,36
P51955,Spindle pole,
P51955,Kinetochore,
P51955,Centromere,8
P51955,Centrosome,
P51956,Cytoplasm,3
P51956,Axon,3
P51957,Cilium,10
P51957,Cytoplasm,10
Q9HC98,Cytoplasm,
Q9HC98,Nucleus,
Q9HC98,Nucleus speckle,
Q9HC98,Centrosome,
Q9HC98,Spindle pole,
Q8TDX7,Nucleus,5
Q8TDX7,Cytoplasm,12
Q8TDX7,Spindle pole,13
Q8TDX7,Centrosome,10
Q8TDX7,Centrosome,12
Q86SG6,Cytoplasm,6
Q86SG6,Cytoskeleton,2
Q86SG6,Cilium,6
Q86SG6,Centrosome,6
Q8TD19,Cytoplasm,16
Q8TD19,Nucleus,16
P25092,Cell membrane,12
P25092,Endoplasmic reticulum membrane,12
Q02846,Photoreceptor outer segment membrane,29
Q02846,Endoplasmic reticulum membrane,28
P51841,Photoreceptor outer segment membrane,2
P16066,Membrane,
P20594,Cell membrane,14
P20594,Cell membrane,18
Q02750,Centrosome,14
Q02750,Spindle pole body,14
Q02750,Cytoplasm,12
Q02750,Cytoplasm,19
Q02750,Nucleus,19
Q02750,Membrane,12
P36507,Cytoplasm,14
P36507,Membrane,14
P45985,Cytoplasm,9
P45985,Nucleus,9
P52564,Nucleus,23
P52564,Cytoplasm,23
P52564,Cytoskeleton,23
O14733,Nucleus,
O14733,Cytoplasm,7
Q16584,Centrosome,17
Q12852,Cytoplasm,2
Q12852,Cell membrane,2
O43283,Cytoplasm,9
O43283,Membrane,9
Q99558,Cytoplasm,
Q9Y2U5,Cytoplasm,16
Q9Y2U5,Nucleus,16
Q9NYL2,Cytoplasm,22
Q9NYL2,Nucleus,22
Q9Y6R4,Perinuclear region,4
Q99683,Cytoplasm,
Q99683,Endoplasmic reticulum,
O43318,Cytoplasm,24
O43318,Cell membrane,24
P41279,Cytoplasm,16
P41279,Cytoplasm,20
Q12851,Cytoplasm,5
Q12851,Basolateral cell membrane,5
Q12851,Golgi apparatus membrane,5
O95819,Cytoplasm,23
Q9Y4K4,Cytoplasm,6
Q8N4C8,Cytoplasm,20
Q8N4C8,Cytoplasm,24
Q8N4C8,Postsynaptic density,14
Q8N4C8,Axon,14
Q8N4C8,Dendrite,14
Q8N4C8,Golgi apparatus,
Q8NEV4,Cytoskeleton,
Q8NEV4,Cytoplasm,9
Q8NEV4,Filopodium tip,9
Q8NEV4,Stereocilium,2
Q8WXR4,Cytoskeleton,
Q8WXR4,Stereocilium,1
O95747,Cytoplasm,22
Q13153,Cytoplasm,42
Q13153,Cytoplasm,45
Q13153,Focal adhesion,45
Q13153,Cell membrane,45
Q13153,Ruffle membrane,45
Q13153,Invadopodium,45
Q13153,Nucleoplasm,42
Q13153,Chromosome,42
Q13177,Cytoplasm,
Q13177,Nucleus,
Q13177,Perinuclear region,
Q13177,Membrane,
O75914,Cytoplasm,2
O96013,Cytoplasm,24
Q9P286,Mitochondrion,
Q9P286,Cytoplasm,
Q9P286,Nucleus,
Q9NQU5,Cytoplasm,
Q9NQU5,Nucleus,
Q9H2G2,Cytoplasm,11
O94804,Cell membrane,22
Q9Y6E0,Cytoplasm,
Q9Y6E0,Nucleus,
Q9Y6E0,Membrane,
O00506,Cytoplasm,5
O00506,Golgi apparatus,5
Q9P289,Cytoplasm,20
Q9P289,Cytoplasm,25
Q9P289,Golgi apparatus,18
Q9P289,Golgi apparatus,25
Q13188,Cytoplasm,14
Q13188,Nucleus,14
Q9UEW8,Cytoplasm,14
Q9UEW8,Nucleus,14
Q13043,Cytoplasm,
Q13043,Nucleus,
Q7RTN6,Nucleus,6
Q7RTN6,Nucleus,7
Q7RTN6,Cytoplasm,6
Q7RTN6,Cytoplasm,7
Q9C0K7,Nucleus,5
Q9C0K7,Cytoplasm,5
Q7L7X3,Cytoplasm,14
Q9UL54,Cytoplasmic vesicle membrane,26
Q9UL54,Cytoskeleton,
Q9UL54,Nucleus,
Q9UL54,Dendrite,
Q9H2K8,Cytoplasm,16
Q9H2K8,Cell membrane,16
Q9UKE5,Nucleus,
Q9UKE5,Cytoplasm,
Q9UKE5,Recycling endosome,
Q9UKE5,Cytoskeleton,
Q04771,Membrane,
P36896,Cell membrane,1
Q8NER5,Membrane,8
P27037,Membrane,
P37023,Cell membrane,23
Q16671,Membrane,
P36894,Cell membrane,5
P36894,Cell surface,4
O00238,Cell membrane,3
O00238,Membrane,
Q13873,Cell membrane,21
P15056,Nucleus,19
P15056,Cytoplasm,40
P15056,Cell membrane,40
Q13418,Focal adhesion,11
Q13418,Focal adhesion,12
Q13418,Cell membrane,
Q13418,Lamellipodium,9
Q13418,Sarcomere,11
P51617,Cytoplasm,21
P51617,Nucleus,21
P51617,Lipid droplet,4
Q9NWZ3,Cytoplasm,29
Q8IVT5,Cytoplasm,17
Q8IVT5,Membrane,17
Q8IVT5,Cell membrane,9
Q8IVT5,Ruffle membrane,9
Q8IVT5,Endoplasmic reticulum membrane,17
Q6VAB6,Cytoplasm,2
Q6VAB6,Membrane,2
P53667,Cytoplasm,26
P53667,Nucleus,26
P53667,Cytoskeleton,11
P53667,Cytoskeleton,21
P53667,Lamellipodium,7
P53671,Cytoplasm,17
P53671,Nucleus,17
P53671,Spindle,15
Q38SD2,Cytoplasm,4
Q5S007,Cytoplasmic vesicle,37
Q5S007,Cytoplasmic vesicle,39
Q5S007,Cytoplasmic vesicle,59
Q5S007,Perikaryon,44
Q5S007,Golgi apparatus membrane,37
Q5S007,Golgi apparatus membrane,56
Q5S007,Axon,44
Q5S007,Dendrite,44
Q5S007,Dendrite,51
Q5S007,Endoplasmic reticulum membrane,37
Q5S007,Endoplasmic reticulum membrane,58
Q5S007,Synaptic vesicle membrane,57
Q5S007,Endosome,6
Q5S007,Lysosome,44
Q5S007,Mitochondrion outer membrane,33
Q5S007,Mitochondrion outer membrane,37
Q5S007,Mitochondrion outer membrane,44
Q5S007,Mitochondrion outer membrane,65
P04049,Cytoplasm,
P04049,Cell membrane,
P04049,Mitochondrion,
P04049,Nucleus,
Q13546,Cytoplasm,14
Q13546,Cell membrane,15
O43353,Cytoplasm,36
Q9Y572,Cytosol,15
Q9Y572,Cell membrane,2
Q9Y572,Mitochondrion,21
P57078,Cytoplasm,
P57078,Membrane,1
Q96S53,Nucleus,8
P36897,Cell membrane,39
P36897,Cell membrane,47
P36897,Tight junction,24
P36897,Cell surface,39
P36897,Membrane raft,39
P37173,Cell membrane,22
P37173,Cell membrane,40
P37173,Membrane raft,40
Q59H18,Nucleus,4
Q59H18,Cytoplasm,4
Q6ZMQ8,Membrane,2
Q6ZMQ8,Cytoplasm,7
Q6ZMQ8,Perinuclear region,7
P00519,Cytoskeleton,
P00519,Nucleus,
P00519,Mitochondrion,25
P00519,Nucleus membrane,
P42684,Cytoskeleton,
Q9UM73,Cell membrane,25
Q9UM73,Cell membrane,39
P30530,Cell membrane,31
P51451,Cell membrane,1
P51813,Cytoplasm,17
Q06187,Cytoplasm,
Q06187,Cell membrane,
Q06187,Nucleus,
P07333,Cell membrane,
P41240,Cytoplasm,6
P41240,Cell membrane,6
Q08345,Cell membrane,
Q08345,Secreted,41
Q16832,Cell membrane,15
Q16832,Cell membrane,18
Q16832,Cell membrane,24
P00533,Cell membrane,101
P00533,Cell membrane,127
P00533,Cell membrane,132
P00533,Cell membrane,133
P00533,Endoplasmic reticulum membrane,132
P00533,Golgi apparatus membrane,
P00533,Nucleus membrane,
P00533,Endosome,101
P00533,Endosome,132
P00533,Endosome membrane,
P00533,Nucleus,100
P00533,Nucleus,116
P00533,Nucleus,117
P00533,Secreted,
P21709,Cell membrane,16
Q5JZY3,Cell membrane,10
Q5JZY3,Secreted,10
P29317,Cell membrane,32
P29317,Cell membrane,37
P29317,Cell membrane,39
P29317,Cell membrane,42
P29317,Ruffle membrane,37
P29317,Lamellipodium membrane,37
P29317,Focal adhesion,25
P29320,Cell membrane,16
P29320,Secreted,27
P54764,Cell membrane,6
P54764,Axon,6
P54764,Dendrite,6
P54764,Postsynaptic density membrane,6
P54764,Early endosome,6
P54764,Adherens junction,7
P54756,Cell membrane,12
P54756,Axon,4
P54756,Dendrite,12
P54756,Dendrite,14
Q9UF33,Membrane,1
Q15375,Cell membrane,19
P29322,Cell membrane,5
P29322,Cell projection,5
P29322,Early endosome membrane,5
P54762,Cell membrane,20
P54762,Early endosome membrane,20
P54762,Dendrite,8
P29323,Cell membrane,
P29323,Axon,5
P29323,Dendrite,5
P54753,Cell membrane,11
P54753,Dendrite,4
P54760,Cell membrane,27
P54760,Cell membrane,31
O15197,Membrane,
O15197,Secreted,18
P04626,Cell membrane,56
P04626,Early endosome,56
P04626,Perinuclear region,
P04626,Nucleus,
P04626,Cytoplasm,
P21860,Cell membrane,
P21860,Secreted,
Q15303,Cell membrane,11
Q15303,Cell membrane,20
Q15303,Cell membrane,22
Q15303,Cell membrane,26
Q15303,Cell membrane,27
Q15303,Cell membrane,29
Q15303,Cell membrane,33
Q15303,Cell membrane,34
Q15303,Cell membrane,39
Q15303,Cell membrane,41
Q15303,Cell membrane,46
Q15303,Cell membrane,52
Q15303,Nucleus,33
Q15303,Mitochondrion,33
P16591,Cytoplasm,
P16591,Cytoskeleton,
P16591,Cell membrane,
P16591,Cell projection,
P16591,Cell junction,
P16591,Membrane,
P16591,Nucleus,
P16591,Cell cortex,
P07332,Cytosol,
P07332,Cytoskeleton,
P07332,Cell membrane,
P07332,Cytoplasmic vesicle,
P07332,Golgi apparatus,
P07332,Focal adhesion,
P11362,Cell membrane,
P11362,Nucleus,
P11362,Cytosol,
P11362,Cytoplasmic vesicle,
P21802,Cell membrane,
P21802,Golgi apparatus,
P21802,Cytoplasmic vesicle,
P21802,Secreted,
P22607,Cell membrane,
P22607,Cytoplasmic vesicle,
P22607,Endoplasmic reticulum,
P22607,Cell membrane,4
P22607,Secreted,
P22455,Cell membrane,
P22455,Endosome,
P22455,Endoplasmic reticulum,
P22455,Secreted,
P22455,Cytoplasm,18
P09769,Cell membrane,18
P09769,Cell membrane,
P09769,Ruffle membrane,
P09769,Cytosol,
P09769,Cytoskeleton,
P09769,Mitochondrion inner membrane,2
P09769,Mitochondrion intermembrane space,2
P17948,Cell membrane,
P17948,Endosome,
P17948,Secreted,37
P17948,Secreted,
P17948,Cytoplasm,50
P36888,Membrane,
P36888,Endoplasmic reticulum lumen,
P35916,Cell membrane,31
P35916,Cell membrane,37
P35916,Cytoplasm,19
P35916,Cytoplasm,31
P35916,Nucleus,19
P35916,Cell membrane,
P35916,Secreted,
P35916,Cytoplasm,
P42685,Cytoplasm,11
P42685,Nucleus,11
P06241,Cytoplasm,
P06241,Nucleus,
P06241,Cell membrane,
P08631,Lysosome,
P08631,Membrane,
P08631,Podosome membrane,
P08631,Cytosol,
P08631,Cell membrane,29
P08631,Caveola,29
P08631,Focal adhesion,29
P08631,Cytoskeleton,29
P08631,Golgi apparatus,29
P08631,Cytoplasmic vesicle,29
P08631,Lysosome,29
P08631,Nucleus,29
P08631,Secretory vesicle,
P08069,Cell membrane,33
P06213,Cell membrane,20
P06213,Late endosome,20
P06213,Lysosome,20
P14616,Membrane,
Q08881,Cytoplasm,24
Q08881,Nucleus,11
P23458,Endomembrane system,
O60674,Endomembrane system,14
O60674,Cytoplasm,34
O60674,Nucleus,34
P52333,Endomembrane system,4
P52333,Cytoplasm,4
P35968,Cell junction,14
P35968,Endoplasmic reticulum,57
P35968,Cell membrane,
P35968,Cytoplasm,
P35968,Nucleus,
P35968,Cytoplasmic vesicle,
P35968,Early endosome,
P35968,Secreted,66
P35968,Secreted,
P10721,Cell membrane,
P10721,Cytoplasm,
