uniprot,subcell_aditional_text_refs,subcell_aditional_text
P34947,,Predominantly localized at the plasma membrane; targeted to the cell surface through the interaction with phospholipids. Nucleus localization is regulated in a GPCR and Ca(2+)/calmodulin-dependent fashion.
P43250,,
Q8WTQ7,,
O95835,,"Localizes to the centrosomes throughout interphase but migrates to the mitotic apparatus, including spindle pole bodies, mitotic spindle, and midbody, during mitosis."
Q9NRM7,,"Colocalizes with AURKA at the centrosomes during interphase, early prophase and cytokinesis. Migrates to the spindle poles during mitosis, and to the midbody during cytokinesis. Translocates to the nucleus upon mitotic stress by nocodazole treatment."
Q9Y2H9,5,Also localized in the soma of neurons. Observed as punctate clusters in the processes of interneurons and along the cell body periphery. Colocalizes with syntrophins at the cell membrane.
Q6P0Q8,,Recruited to the sub-membranous area on interaction with CDHR2.
O15021,,
Q96GX5,18,"During interphase is mainly nuclear, upon nuclear envelope breakdown localizes at the cytoplasm and during mitosis at the centrosomes. Upon mitotic exit moves to the cleavage furrow."
O15530,,"Tyrosine phosphorylation seems to occur only at the cell membrane. Translocates to the cell membrane following insulin stimulation by a mechanism that involves binding to GRB14 and INSR. SRC and HSP90 promote its localization to the cell membrane. Its nuclear localization is dependent on its association with PTPN6 and its phosphorylation at Ser-396. Restricted to the nucleus in neuronal cells while in non-neuronal cells it is found in the cytoplasm. The Ser-241 phosphorylated form is distributed along the perinuclear region in neuronal cells while in non-neuronal cells it is found in both the nucleus and the cytoplasm. IGF1 transiently increases phosphorylation at Ser-241 of neuronal PDPK1, resulting in its translocation to other cellular compartments. The tyrosine-phosphorylated form colocalizes with PTK2B in focal adhesions after angiotensin II stimulation."
Q6A1A2,,
Q16512,22,Associates with chromatin in a ligand-dependent manner. Localization to endosomes is mediated via its interaction with RHOB. Association to the cell membrane is dependent on Ser-377 phosphorylation. Accumulates during telophase at the cleavage furrow and finally concentrates around the midbody in cytokinesis.
Q16512,35,Associates with chromatin in a ligand-dependent manner. Localization to endosomes is mediated via its interaction with RHOB. Association to the cell membrane is dependent on Ser-377 phosphorylation. Accumulates during telophase at the cleavage furrow and finally concentrates around the midbody in cytokinesis.
Q16513,20,"Colocalizes with PTPN13 in lamellipodia-like structures, regions of large actin turnover. Accumulates during telophase at the cleavage furrow and concentrates finally around the midbody in cytokinesis. Recruited to nascent cell-cell contacts at the apical surface of cells. In the course of viral infection, colocalizes with HCV NS5B at perinuclear region in the cytoplasm."
Q16513,25,"Colocalizes with PTPN13 in lamellipodia-like structures, regions of large actin turnover. Accumulates during telophase at the cleavage furrow and concentrates finally around the midbody in cytokinesis. Recruited to nascent cell-cell contacts at the apical surface of cells. In the course of viral infection, colocalizes with HCV NS5B at perinuclear region in the cytoplasm."
Q6P5Z2,,Nuclear and perinuclear Golgi region.
P17612,9,Translocates into the nucleus (monomeric catalytic subunit). The inactive holoenzyme is found in the cytoplasm. Distributed throughout the cytoplasm in meiotically incompetent oocytes. Associated to mitochondrion as meiotic competence is acquired. Aggregates around the germinal vesicles (GV) at the immature GV stage oocytes (By similarity). Colocalizes with HSF1 in nuclear stress bodies (nSBs) upon heat shock (PubMed:21085490).
P17612,32,Translocates into the nucleus (monomeric catalytic subunit). The inactive holoenzyme is found in the cytoplasm. Distributed throughout the cytoplasm in meiotically incompetent oocytes. Associated to mitochondrion as meiotic competence is acquired. Aggregates around the germinal vesicles (GV) at the immature GV stage oocytes (By similarity). Colocalizes with HSF1 in nuclear stress bodies (nSBs) upon heat shock (PubMed:21085490).
P17612,10,Expressed in the midpiece region of the sperm flagellum (PubMed:10906071). Colocalizes with MROH2B and TCP11 on the acrosome and tail regions in round spermatids and spermatozoa regardless of the capacitation status of the sperm (By similarity).
P17612,13,Expressed in the midpiece region of the sperm flagellum (PubMed:10906071). Colocalizes with MROH2B and TCP11 on the acrosome and tail regions in round spermatids and spermatozoa regardless of the capacitation status of the sperm (By similarity).
P22694,1,Translocates into the nucleus (monomeric catalytic subunit). The inactive holoenzyme is found in the cytoplasm.
P17252,,
P05771,,
Q05655,,
Q02156,4,"Translocated to plasma membrane in epithelial cells stimulated by HGF. Associated with the Golgi at the perinuclear site in pre-passage fibroblasts (By similarity). In passaging cells, translocated to the cell periphery (By similarity). Translocated to the nucleus in PMA-treated cells (By similarity)."
P05129,4,Translocates to synaptic membranes on stimulation.
P24723,,
P41743,34,"Transported into the endosome through interaction with SQSTM1/p62. After phosphorylation by SRC, transported into the nucleus through interaction with KPNB1. Colocalizes with CDK7 in the cytoplasm and nucleus. Transported to vesicular tubular clusters (VTCs) through interaction with RAB2A."
P41743,50,"Transported into the endosome through interaction with SQSTM1/p62. After phosphorylation by SRC, transported into the nucleus through interaction with KPNB1. Colocalizes with CDK7 in the cytoplasm and nucleus. Transported to vesicular tubular clusters (VTCs) through interaction with RAB2A."
Q04759,,"In resting T-cells, mostly localized in cytoplasm. In response to TCR stimulation, associates with lipid rafts and then localizes in the immunological synapse."
Q05513,4,"In the retina, localizes in the terminals of the rod bipolar cells (By similarity). Associates with endosomes (PubMed:9566925). Presence of KRIT1, CDH5 and RAP1B is required for its localization to the cell junction (PubMed:7597083). Colocalizes with VAMP2 and WDFY2 in intracellular vesicles (PubMed:17313651). Transiently translocates to the membrane of CA1 hippocampal cells in response to the induction of long term potentiation (By similarity)."
Q05513,24,"In the retina, localizes in the terminals of the rod bipolar cells (By similarity). Associates with endosomes (PubMed:9566925). Presence of KRIT1, CDH5 and RAP1B is required for its localization to the cell junction (PubMed:7597083). Colocalizes with VAMP2 and WDFY2 in intracellular vesicles (PubMed:17313651). Transiently translocates to the membrane of CA1 hippocampal cells in response to the induction of long term potentiation (By similarity)."
Q05513,30,"In the retina, localizes in the terminals of the rod bipolar cells (By similarity). Associates with endosomes (PubMed:9566925). Presence of KRIT1, CDH5 and RAP1B is required for its localization to the cell junction (PubMed:7597083). Colocalizes with VAMP2 and WDFY2 in intracellular vesicles (PubMed:17313651). Transiently translocates to the membrane of CA1 hippocampal cells in response to the induction of long term potentiation (By similarity)."
Q05513,32,"In the retina, localizes in the terminals of the rod bipolar cells (By similarity). Associates with endosomes (PubMed:9566925). Presence of KRIT1, CDH5 and RAP1B is required for its localization to the cell junction (PubMed:7597083). Colocalizes with VAMP2 and WDFY2 in intracellular vesicles (PubMed:17313651). Transiently translocates to the membrane of CA1 hippocampal cells in response to the induction of long term potentiation (By similarity)."
Q05513,,
Q13976,13,Colocalized with TRPC7 in the plasma membrane.
Q13237,,
P51817,,cAMP induces nuclear translocation.
Q13464,17,"Associated with the mother centriole and an intercentriolar linker. Colocalizes with ITGB1BP1 and ITGB1 at the cell membrane predominantly in lamellipodia and membrane ruffles, but also in retraction fibers. Localizes at the cell membrane in an ITGB1BP1-dependent manner (By similarity). A small proportion is associated with Golgi membranes."
O75116,9,"Cytoplasmic, and associated with actin microfilaments and the plasma membrane."
Q15418,,
Q15349,,
P51812,,
O75676,,
O75582,,Predominantly nuclear. Exported into cytoplasm in response to glucocorticoid.
Q9UK32,,Predominantly cytosolic.
P23443,,Colocalizes with URI1 at mitochondrion.
P23443,,
Q9UBS0,,
O00141,,"The subcellular localization is controlled by the cell cycle, as well as by exposure to specific hormones and environmental stress stimuli. In proliferating cells, it shuttles between the nucleus and cytoplasm in synchrony with the cell cycle, and in serum/growth factor-stimulated cells it resides in the nucleus. In contrast, after exposure to environmental stress or treatment with glucocorticoids, it is detected in the cytoplasm and with certain stress conditions is associated with the mitochondria. In osmoregulation through the epithelial sodium channel, it can be localized to the cytoplasmic surface of the cell membrane. Nuclear, upon phosphorylation."
O00141,,
Q9HBY8,,
Q96BR1,,Endosomal localization is a prerequisite for complete kinase activity. It is essential for its colocalization with the kinase responsible for phosphorylating Ser-486 thus allowing PDPK1 phosphorylation of Thr-320 resulting in complete activation of SGK3. Localized in vesicle-like structures and in the early endosome. Colocalizes with SLC9A3/NHE3 in the recycling endosomes.
Q15208,,
Q9Y2H1,,Associated with the actin cytoskeleton. Co-localizes with STK24/MST3 in the membrane.
Q8TDC3,2,Nuclear in the absence of DNA damage. Translocated to the nucleus in response to UV- or MMS-induced DNA damage (By similarity).
Q8IWQ3,,Detected at centrosomes during mitosis. Localizes to the endoplasmic reticulum in response to stress caused by tunicamycin.
Q14012,5,Predominantly cytoplasmic.
Q8IU85,,Predominantly cytoplasmic. Nuclear localization increases upon activation by KCl treatment in hippocampal neurons.
Q96NX5,,
Q9UQM7,5,Postsynaptic lipid rafts.
Q13554,,"In slow-twitch muscle, evenly distributed between longitudinal SR and junctional SR."
Q13557,,
Q13555,,
Q16566,3,"Localized in hippocampal neuron nuclei. In spermatids, associated with chromatin and nuclear matrix (By similarity)."
Q8NCB2,1,"Predominantly observed in association with the plasma membrane of soma and in neurites, both axons and dendrites. May be associated with vesicular structures (By similarity)."
O14936,,
O14757,,"Nuclear export is mediated at least in part by XPO1/CRM1. Also localizes to the centrosome specifically during interphase, where it may protect centrosomal CDC2 kinase from inappropriate activation by cytoplasmic CDC25B."
O96017,,Isoform 10 is present throughout the cell.
O96017,,
O96017,,Recruited into PML bodies together with TP53.
P53355,,Colocalizes with MAP1B in the microtubules and cortical actin fibers.
P53355,,
Q9UIK4,,
O43293,22,Predominantly localizes to the cytoplasm but can shuttle between the nucleus and cytoplasm; cytoplasmic localization is promoted by phosphorylation at Thr-299 and involves Rho/Rock signaling.
O43293,26,Predominantly localizes to the cytoplasm but can shuttle between the nucleus and cytoplasm; cytoplasmic localization is promoted by phosphorylation at Thr-299 and involves Rho/Rock signaling.
O43293,,
Q8N568,2,Colocalizes with microtubules.
Q9C098,,
O60229,,Associated with the cytoskeleton.
P49137,,"Phosphorylation and subsequent activation releases the autoinhibitory helix, resulting in the export from the nucleus into the cytoplasm."
Q16644,,"Predominantly located in the nucleus, when activated it translocates to the cytoplasm."
Q8IW41,,"Translocates to the cytoplasm following phosphorylation and activation. Interaction with ERK3/MAPK6 or ERK4/MAPK4 and phosphorylation at Thr-182, activates the protein kinase activity, followed by translocation to the cytoplasm. Phosphorylation by PKA/PRKACA at Ser-115 also induces nuclear export."
Q9P0L2,5,Appears to localize to an intracellular network.
Q7KZI7,,Phosphorylation at Thr-596 by PRKCZ/aPKC and subsequent interaction with 14-3-3 protein YWHAZ promotes relocation from the cell membrane to the cytoplasm.
P27448,,
Q96L34,9,Localized at the tips of neurite-like processes in differentiated neuroblast cells. Detected in the cytoplasm and neuropil of the hippocampus.
Q96L34,17,Localized at the tips of neurite-like processes in differentiated neuroblast cells. Detected in the cytoplasm and neuropil of the hippocampus.
Q14680,,
Q9BUB5,,
Q9HBH9,,
Q15746,20,Localized to stress fibers during interphase and to the cleavage furrow during mitosis.
Q9H1R3,,Colocalizes with phosphorylated myosin light chain (RLCP) at filaments of the myofibrils.
Q32MK0,,
O60285,,
Q5VST9,,"In differentiating skeletal muscle cells, isoform 3 primarily localizes to the sarcomeric M-line and less frequently to the Z-disk (PubMed:12527750). Isoform 3 colocalizes with ANK1 isoform Mu17/ank1.5 at the M-line in differentiated skeletal muscle cells (PubMed:12527750)."
Q5VST9,21,Colocalizes with CDH2 and ATP1B1 to the sarcolemma and to intercalating disks in cardiac muscles. Colocalizes with ATP1B1 to M line and Z line in cardiac muscles.
Q96RG2,,Localizes in the nucleus of testis germ cells and in the midpiece of sperm tails.
P11309,,
Q86V86,,
Q6P2M8,,
Q13131,,"In response to stress, recruited by p53/TP53 to specific promoters."
P54646,,"In response to stress, recruited by p53/TP53 to specific promoters."
Q15139,,Translocation to the cell membrane is required for kinase activation.
Q9BZL6,23,Translocation to the cell membrane is required for kinase activation. Accumulates in the nucleus upon CK1-mediated phosphorylation after activation of G-protein-coupled receptors. Nuclear accumulation is regulated by blocking nuclear export of active PRKD2 rather than by increasing import.
O94806,,Translocation to the cell membrane is required for kinase activation.
P11801,,"Localized in the brefeldin A-sensitive Golgi compartment, at centrosomes, in the nucleus with a somewhat speckle-like presence, membrane-associated to the endoplasmic reticulum (ER) and the plasma membrane (PM), and more diffusely in the cytoplasm. Found to concentrate in splicing factor compartments (SFCs) within the nucleus of interphase cells. The acylation-negative form may be only cytoplasmic and nuclear. Acylation seems to allow the sequestering to the intracellular membranes. Myristoylation may mediate targeting to the intracellular non-Golgi membranes and palmitoylation may mediate the targeting to the Golgi membranes. Dual acylation is required to stabilize the interaction with Golgi membranes."
P57059,,"Locates to cytoplasm when inactive following cAMP-induced phosphorylation, probably by PKA (PubMed:29211348)."
Q9H0K1,,
Q9Y2K2,14,Locates to punctate structures within the cytoplasm on binding to YWHAZ.
Q9NRH2,,
Q15772,,
Q15831,4,A small fraction localizes at membranes (By similarity). Relocates to the cytoplasm when bound to STRAD (STRADA or STRADB) and CAB39/MO25 (CAB39/MO25alpha or CAB39L/MO25beta). Translocates to the mitochondrion during apoptosis. Translocates to the cytoplasm in response to metformin or peroxynitrite treatment. PTEN promotes cytoplasmic localization.
Q15831,,"Predominantly nuclear, but translocates to the cytoplasm in response to metformin or peroxynitrite treatment."
Q9UEE5,,
O94768,4,Colocalizes with STK17B at the plasma membrane.
Q9BYT3,,
Q8N2I9,,
Q92519,1,May associate with the cytoskeleton.
Q96RU7,,
O75962,,
Q9BXA7,1,"In spermatozoa, present in the sperm head and in the flagellum."
Q96PF2,1,"Present in the cytoplasm of elongating spermatids. In spermatozoa, localizes in the equatorial segment, neck, the midpiece and in a specific sperm head compartment (By similarity). In spermatids, concentrates in centrioles during flagellogenesis."
Q6SA08,1,"In spermatozoa, present in the sperm head and in the flagellum."
Q8WZ42,,
P48729,12,"Localizes to the centrosome in interphase cells, and to kinetochore fibers during mitosis. Also recruited to the keratin cytoskeleton (PubMed:23902688)."
P48729,15,"Localizes to the centrosome in interphase cells, and to kinetochore fibers during mitosis. Also recruited to the keratin cytoskeleton (PubMed:23902688)."
Q8N752,,
P48730,,"Localized at mitotic spindle microtubules, and at the centrosomes and interphase in interphase cells. Recruited to the spindle apparatus and the centrosomes in response to DNA-damage. Correct subcellular localization requires kinase activity."
P49674,,
Q9HCP0,,
P78368,,
Q9Y6M4,,
Q5TCY1,,
Q6IQ55,3,"Localizes to the transition zone in primary cilia in response to cell cycle signals that promote ciliogenesis (By similarity). May also be present in cytosol and, at lower level in the nucleus."
Q99986,,Dispersed throughout the cell but not located on mitotic spindle or chromatids during mitosis.
Q86Y07,,
Q8IV63,,
P06493,,Cytoplasmic during the interphase. Colocalizes with SIRT2 on centrosome during prophase and on splindle fibers during metaphase of the mitotic cell cycle. Reversibly translocated from cytoplasm to nucleus when phosphorylated before G2-M transition when associated with cyclin-B1. Accumulates in mitochondria in G2-arrested cells upon DNA-damage.
Q15131,,
Q9UQ88,,
P21127,,
Q9NYV4,,Colocalized with nuclear speckles throughout interphase.
Q14004,,
O94921,,Recruited to the cell membrane by CCNY.
Q00536,,Colocalizes with insulin in pancreas islets. Recruited to the cell membrane by CCNY.
P24941,,"Localized at the centrosomes in late G2 phase after separation of the centrosomes but before the start of prophase. Nuclear-cytoplasmic trafficking is mediated during the inhibition by 1,25-(OH)(2)D(3)."
Q8IZL9,,
P11802,17,Cytoplasmic when non-complexed. Forms a cyclin D-CDK4 complex in the cytoplasm as cells progress through G(1) phase. The complex accumulates on the nuclear membrane and enters the nucleus on transition from G(1) to S phase. Also present in nucleoli and heterochromatin lumps. Colocalizes with RB1 after release into the nucleus.
Q00535,7,"In axonal growth cone with extension to the peripheral lamellipodia (By similarity). Under neurotoxic stress and neuronal injury conditions, CDK5R (p35) is cleaved by calpain to generate CDK5R1 (p25) in response to increased intracellular calcium. The elevated level of p25, when in complex with CDK5, leads to its subcellular misallocation as well as its hyperactivation. Colocalizes with CTNND2 in the cell body of neuronal cells, and with CTNNB1 in the cell-cell contacts and plasma membrane of undifferentiated and differentiated neuroblastoma cells. Reversibly attached to the plasma membrane in an inactive form when complexed to dephosphorylated p35 or CDK5R2 (p39), p35 phosphorylation releases this attachment and activates CDK5."
Q00535,,
Q00534,12,Localized to the ruffling edge of spreading fibroblasts. Kinase activity only in nucleus. Localized to the cytosol of neurons and showed prominent staining around either side of the nucleus (By similarity). Present in the cytosol and in the nucleus in interphase cells and at the centrosome during mitosis from prophase to telophase (PubMed:23918663).
Q00534,31,Localized to the ruffling edge of spreading fibroblasts. Kinase activity only in nucleus. Localized to the cytosol of neurons and showed prominent staining around either side of the nucleus (By similarity). Present in the cytosol and in the nucleus in interphase cells and at the centrosome during mitosis from prophase to telophase (PubMed:23918663).
P50613,,Colocalizes with PRKCI in the cytoplasm and nucleus. Translocates from the nucleus to cytoplasm and perinuclear region in response to DNA-bound peptides.
P49336,,
P50750,,"Accumulates on chromatin in response to replication stress. Complexed with CCNT1 in nuclear speckles, but uncomplexed form in the cytoplasm. The translocation from nucleus to cytoplasm is XPO1/CRM1-dependent. Associates with PML body when acetylated."
Q00532,,
Q92772,,
Q8IVW4,,
Q5MAI5,,
O76039,,
P49759,,
P49760,,
P49760,10,Inhibition of phosphorylation at Ser-142 results in accumulation in the nuclear speckle.
P49760,20,Co-localizes with serine- and arginine-rich (SR) proteins in the nuclear speckles.
P49761,,
P49761,,Co-localizes with serine- and arginine-rich (SR) proteins in the nuclear speckles.
Q9HAZ1,,
Q13627,,
Q9Y463,,
Q92630,,Translocates into the nucleus following DNA damage.
O43781,7,"Associates with membraneless organelles in the cytoplasm and nucleus (PubMed:29973724). Shuttles between cytoplasm and stress granules (PubMed:20167603). Localized predominantly on distinct speckles distributed throughout the cytoplasm of the cell (PubMed:20167603). At low concentration, showns a homogeneous distribution throughout the cytoplasm and does not condense in speckles. During oxidative and osmotic stress, localizes to stress granules (PubMed:20167603)."
O43781,10,"Associates with membraneless organelles in the cytoplasm and nucleus (PubMed:29973724). Shuttles between cytoplasm and stress granules (PubMed:20167603). Localized predominantly on distinct speckles distributed throughout the cytoplasm of the cell (PubMed:20167603). At low concentration, showns a homogeneous distribution throughout the cytoplasm and does not condense in speckles. During oxidative and osmotic stress, localizes to stress granules (PubMed:20167603)."
Q9NR20,,
P49841,,The phosphorylated form shows localization to cytoplasm and cell membrane. The MEMO1-RHOA-DIAPH1 signaling pathway controls localization of the phosphorylated form to the cell membrane.
Q86Z02,11,Predominantly nuclear. Translocates from nucleus to cytoplasm in response to stress stimuli via SENP1-mediated desumoylation.
Q86Z02,14,Predominantly nuclear. Translocates from nucleus to cytoplasm in response to stress stimuli via SENP1-mediated desumoylation.
Q9H2X6,,Concentrated in PML/POD/ND10 nuclear bodies. Small amounts are cytoplasmic.
Q9H422,,
Q8NE63,,
Q9UPZ9,7,"Also found at the ciliary tip (PubMed:24797473). Nuclear localization has been observed with a GFP-tagged construct in transfected HeLa cells (PubMed:12103360, PubMed:19185282)."
Q9UPZ9,10,"Also found at the ciliary tip (PubMed:24797473). Nuclear localization has been observed with a GFP-tagged construct in transfected HeLa cells (PubMed:12103360, PubMed:19185282)."
Q9UPZ9,11,"Also found at the ciliary tip (PubMed:24797473). Nuclear localization has been observed with a GFP-tagged construct in transfected HeLa cells (PubMed:12103360, PubMed:19185282)."
Q9UPZ9,8,Predominant cytoplasmic localization has been observed with a N-terminally GFP-tagged construct.
P20794,1,"Localized in both the connecting cilia and the outer segment axonemes (By similarity). Localized uniformly in nuclei during interphase, to the mitotic spindle and centrosomes during metaphase and anaphase, and also to midbody at anaphase until telophase."
P28482,20,Associated with the spindle during prometaphase and metaphase (By similarity). PEA15-binding and phosphorylated DAPK1 promote its cytoplasmic retention. Phosphorylation at Ser- 246 and Ser-248 as well as autophosphorylation at Thr-190 promote nuclear localization.
P53779,7,Palmitoylation regulates MAPK10 trafficking to cytoskeleton. Recruited to the mitochondria in the presence of SARM1 (By similarity).
Q15759,,
P53778,3,Mitochondrial when associated with SH3BP5. In skeletal muscle colocalizes with SNTA1 at the neuromuscular junction and throughout the sarcolemma (By similarity).
Q16539,,
Q8TD08,3,"Co-localizes to the cytoplasm only in presence of ESRRA (PubMed:21190936). Translocates to the nucleus upon activation (PubMed:20638370). At prometaphase I, metaphase I (MI), anaphase I, telophase I, and metaphase II (MII) stages, is stably detected at the spindle (By similarity)."
Q8TD08,11,"Co-localizes to the cytoplasm only in presence of ESRRA (PubMed:21190936). Translocates to the nucleus upon activation (PubMed:20638370). At prometaphase I, metaphase I (MI), anaphase I, telophase I, and metaphase II (MII) stages, is stably detected at the spindle (By similarity)."
Q8TD08,13,"Co-localizes to the cytoplasm only in presence of ESRRA (PubMed:21190936). Translocates to the nucleus upon activation (PubMed:20638370). At prometaphase I, metaphase I (MI), anaphase I, telophase I, and metaphase II (MII) stages, is stably detected at the spindle (By similarity)."
P27361,,Autophosphorylation at Thr-207 promotes nuclear localization.
P31152,3,Translocates to the cytoplasm following interaction with MAPKAPK5.
Q16659,5,Translocates to the cytoplasm following interaction with MAPKAPK5.
Q13164,,Translocates to the nucleus upon activation.
P45983,14,Colocalizes with POU5F1 in the nucleus.
P45984,4,Colocalizes with POU5F1 in the nucleus.
Q9UQ07,,
Q9UBE8,4,Predominantly nuclear. A smaller fraction is cytoplasmic (By similarity).
Q13523,,
Q96SB4,,"Shuttles between the nucleus and the cytoplasm. Inhibition of the Hsp90 ATPase activity, osmotic stress and interaction with HHV-1 ICP27 protein can induce its translocation to the nucleus. KAT5/TIP60 inhibits its nuclear translocation."
Q96SB4,,"Mainly localized in the microsomal fraction and the cytoplasm, and to a lesser extent in the nuclear matrix."
P78362,,Shuttles between the nucleus and the cytoplasm. KAT5/TIP60 inhibits its nuclear translocation. Phosphorylation at Thr-492 by PKB/AKT1 promotes nuclear translocation.
Q96PY6,6,Associated with the pericentriolar material (PubMed:21211617). Localizes to centrosome during interphase and mitosis (By similarity). Translocated from cytoplasm to discrete nuclear foci at sites of DNA damage (PubMed:15604234).
Q96PY6,9,Associated with the pericentriolar material (PubMed:21211617). Localizes to centrosome during interphase and mitosis (By similarity). Translocated from cytoplasm to discrete nuclear foci at sites of DNA damage (PubMed:15604234).
Q96PY6,14,Associated with the pericentriolar material (PubMed:21211617). Localizes to centrosome during interphase and mitosis (By similarity). Translocated from cytoplasm to discrete nuclear foci at sites of DNA damage (PubMed:15604234).
Q8NG66,5,Nuclear during interphase but moves to the polar microtubules during prometaphase and metaphase (PubMed:12154088). Accumulates in the nucleolus in G1/S-arrested cells (PubMed:15161910).
Q8NG66,7,Nuclear during interphase but moves to the polar microtubules during prometaphase and metaphase (PubMed:12154088). Accumulates in the nucleolus in G1/S-arrested cells (PubMed:15161910).
P51955,,STK3/MST2 and SAV1 are required for its targeting to the centrosome. Colocalizes with SGO1 and MAD1L1 at the kinetochore. Not associated with kinetochore in the interphase but becomes associated with it upon the breakdown of the nuclear envelope. Has a nucleolar targeting/ retention activity via a coiled-coil domain at the C-terminal end.
P51955,,Predominantly cytoplasmic.
P51955,,Predominantly nuclear.
P51956,,
P51957,,
Q9HC98,,"Colocalizes with APBB1 at the nuclear speckles. Colocalizes with PIN1 in the nucleus. Colocalizes with ATF4, CIR1, ARHGAP33, ANKRA2, CDC42, NEK9, RAD26L, RBBP6, RPS7, TRIP4, RELB and PHF1 in the centrosome. Localizes to spindle microtubules in metaphase and anaphase and to the midbody during cytokinesis."
Q8TDX7,5,Present at centrosome throughout the cell cycle (PubMed:17586473). Also detected at spindle midzone of the anaphase cells and eventually concentrates at the midbody (PubMed:17586473). Interaction with ANKS3 prevents its translocation to the nucleus (By similarity).
Q8TDX7,12,Present at centrosome throughout the cell cycle (PubMed:17586473). Also detected at spindle midzone of the anaphase cells and eventually concentrates at the midbody (PubMed:17586473). Interaction with ANKS3 prevents its translocation to the nucleus (By similarity).
Q86SG6,2,Predominantly cytoplasmic. Localizes to the proximal region of the primary cilium and is not observed in dividing cells.
Q8TD19,,
P25092,,"The 145 kDa plasma membrane form of GC-C contains sialic acid and galactose residues, while a differencially glycosylated 130 Kda form is a high mannose form that is resident in the endoplasmic reticulum and may serve as the precursor for the cell surface form."
Q02846,,
P51841,,
P16066,,
P20594,,
Q02750,12,"Localizes at centrosomes during prometaphase, midzone during anaphase and midbody during telophase/cytokinesis (PubMed:14737111). Membrane localization is probably regulated by its interaction with KSR1 (PubMed:10409742)."
Q02750,14,"Localizes at centrosomes during prometaphase, midzone during anaphase and midbody during telophase/cytokinesis (PubMed:14737111). Membrane localization is probably regulated by its interaction with KSR1 (PubMed:10409742)."
P36507,14,Membrane localization is probably regulated by its interaction with KSR1.
P45985,,
P52564,,Binds to microtubules.
O14733,,
Q16584,,Location is cell cycle dependent.
Q12852,2,Behaves essentially as an integral membrane protein.
O43283,,
Q99558,,
Q9Y2U5,,"Upon EGF stimulation, translocates into the nucleus."
Q9NYL2,22,Translocates to the nucleus upon ultraviolet B irradiation.
Q9Y6R4,4,"Localized in perinuclear vesicular-like structures, probably Golgi-associated vesicles."
Q99683,,Interaction with 14-3-3 proteins alters the distribution of MAP3K5/ASK1 and restricts it to the perinuclear endoplasmic reticulum region.
O43318,,"Although the majority of MAP3K7/TAK1 is found in the cytosol, when complexed with TAB1/MAP3K7IP1 and TAB2/MAP3K7IP2, it is also localized at the cell membrane."
P41279,,
Q12851,,
O95819,,
Q9Y4K4,,
Q8N4C8,,
