uniprot_id|name|short
P05198|Eukaryotic translation initiation factor 2 subunit alphaeIF-2-alphaeIF-2AeIF-2alpha
P08581|Scatter factor receptorSF receptor
P08581|Proto-oncogene c-Met
P08581|HGF/SF receptor
Q9UQ80|ErbB3-binding protein 1
Q9UQ80|Cell cycle protein p38-2G4 homologhG4-1
Q96D96|Hydrogen voltage-gated channel 1HV1
Q96D96|Voltage sensor domain-only protein

O15350-2|p53-like transcription factor
O15350-2|p53-related protein
P12931|Proto-oncogene c-Src
P12931|pp60c-srcp60-Src
P52757|Beta-chimerin
P52757|Rho GTPase-activating protein 3
P30086|Prostatic-binding protein
P30086|Raf kinase inhibitor proteinRKIP
P30086|HCNPpp
P30086|Neuropolypeptide h3
Q8IV61|Calcium and DAG-regulated guanine nucleotide exchange factor III
Q8IV61|Guanine nucleotide exchange factor for Rap1
P14618|Cytosolic thyroid hormone-binding proteinCTHBP
P14618|Tumor M2-PK
P14618|p58
P14618|Thyroid hormone-binding protein 1THBP1
P14618|Pyruvate kinase 2/3
P14618|Pyruvate kinase muscle isozyme
P14618|Opa-interacting protein 3OIP-3
P38936|CDK-interacting protein 1
P38936|Melanoma differentiation-associated protein 6MDA-6
P38936|p21
P24588|A-kinase anchor protein 79 kDaAKAP 79
P24588|H21
P24588|cAMP-dependent protein kinase regulatory subunit II high affinity-binding protein

Q15796|JV18-1
Q15796|Mad-related protein 2hMAD-2
Q15796|SMAD family member 2SMAD 2Smad2hSMAD2

P23677|Inositol 1,4,5-trisphosphate 3-kinase AIP3 3-kinase AIP3K AInsP 3-kinase A
Q9Y618|CTG repeat protein 26
Q9Y618|SMAP270
Q9Y618|Silencing mediator of retinoic acid and thyroid hormone receptorSMRT
Q9Y618|T3 receptor-associating factorTRAC
Q9Y618|Thyroid-, retinoic-acid-receptor-associated corepressor

Q4G163|Endogenous meiotic inhibitor 2
P55042|RAD1
P55042|Ras associated with diabetes
P05556|VLA-4 subunit beta
P05556|Fibronectin receptor subunit beta
P05556|Glycoprotein IIaGPIIA
Q96PM5|Androgen receptor N-terminal-interacting protein
Q96PM5|CH-rich-interacting match with PLAG1
Q96PM5|E3 ubiquitin-protein ligase Pirh2
Q96PM5|RING finger protein 199
Q96PM5|RING-type E3 ubiquitin transferase RCHY1
Q96PM5|Zinc finger protein 363
Q96PM5|p53-induced RING-H2 proteinhPirh2
O15273|Titin cap protein
P16949|Phosphoprotein p19pp19
P16949|Prosolin
P16949|pp17
P16949|Protein Pr22
P16949|Leukemia-associated phosphoprotein p18
P16949|Oncoprotein 18Op18
P16949|Metablastin

P14921|p54
P07101|Tyrosine 3-hydroxylaseTH

P43003|Sodium-dependent glutamate/aspartate transporter 1GLAST-1
P43003|Solute carrier family 1 member 3
P35372|Mu opioid receptorMOPhMOP
P35372|Mu opiate receptor
Q9Y496|Microtubule plus end-directed kinesin motor 3A
P46527|Cyclin-dependent kinase inhibitor p27
P46527|p27Kip1

Q9Y4D2|Neural stem cell-derived dendrite regulator
Q9BXL7|CARD-containing MAGUK protein 1Carma 1
Q92736|Cardiac muscle ryanodine receptor-calcium release channel
Q92736|Type 2 ryanodine receptor
Q92736|Cardiac muscle ryanodine receptor

Q01970|Phospholipase C-beta-3PLC-beta-3
Q01970|Phosphoinositide phospholipase C-beta-3
O14713|Integrin cytoplasmic domain-associated protein 1ICAP-1

P31645|5HT transporter5HTT
P31645|Solute carrier family 6 member 4
P21333|Actin-binding protein 280ABP-280
P21333|Alpha-filamin
P21333|Filamin-1
P21333|Endothelial actin-binding protein
P21333|Non-muscle filamin
P16070|GP90 lymphocyte homing/adhesion receptor
P16070|HUTCH-I
P16070|Heparan sulfate proteoglycan
P16070|CDw44
P16070|Epican
P16070|Extracellular matrix receptor IIIECMR-III
P16070|Phagocytic glycoprotein IPGP-I
P16070|Hermes antigen
P16070|Hyaluronate receptor
P16070|Phagocytic glycoprotein 1PGP-1
O43526-4|KQT-like 2
O43526-4|Neuroblastoma-specific potassium channel subunit alpha KvLQT2
O43526-4|Voltage-gated potassium channel subunit Kv7.2
Q14674|Extra spindle poles-like 1 protein
Q14674|Caspase-like protein ESPL1
Q14674|Separase
O95180|Voltage-gated calcium channel subunit alpha Cav3.2
O95180|Low-voltage-activated calcium channel alpha1 3.2 subunit
P07101-3|Tyrosine 3-hydroxylaseTH
P78352|Postsynaptic density protein 95PSD-95
P78352|Synapse-associated protein 90SAP90SAP-90
Q06210|D-fructose-6-phosphate amidotransferase 1
Q06210|Glutamine:fructose-6-phosphate amidotransferase 1GFAT1GFAT 1
Q06210|Hexosephosphate aminotransferase 1
Q14457|Coiled-coil myosin-like BCL2-interacting protein
Q14457|Protein GT197
O14490-2|Guanylate kinase-associated proteinhGKAP
O14490-2|PSD-95/SAP90-binding protein 1
O14490-2|SAP90/PSD-95-associated protein 1SAPAP1
Q13224|Glutamate [NMDA] receptor subunit epsilon-2
Q13224|N-methyl D-aspartate receptor subtype 2BNR2BNMDAR2B
Q13224|N-methyl-D-aspartate receptor subunit 3NR3hNR3
P42261|GluR-K1
P42261|Glutamate receptor ionotropic, AMPA 1GluA1
P42261|AMPA-selective glutamate receptor 1
P42261|GluR-A

Q04760|Methylglyoxalase
Q04760|S-D-lactoylglutathione methylglyoxal lyase
Q04760|Ketone-aldehyde mutase
Q04760|Aldoketomutase
Q04760|Glyoxalase IGlx I
P37840|Non-A beta component of AD amyloid
P37840|Non-A4 component of amyloid precursorNACP
P41134|Inhibitor of differentiation 1
P41134|Inhibitor of DNA binding 1
P41134|Class B basic helix-loop-helix protein 24bHLHb24
P10636-8|Neurofibrillary tangle protein
P10636-8|Paired helical filament-tauPHF-tau
P55055|Ubiquitously-expressed nuclear receptor
P55055|Nuclear receptor subfamily 1 group H member 2
P55055|Nuclear receptor NER
P55055|Liver X receptor beta
P51790|Chloride channel protein 3ClC-3
P51790|Chloride transporter ClC-3
Q00613|Heat shock transcription factor 1HSTF 1

O95786|DEAD box protein 58
O95786|Probable ATP-dependent RNA helicase DDX58
O95786|RIG-I-like receptor 1RLR-1
O95786|Retinoic acid-inducible gene 1 proteinRIG-1
O95786|Retinoic acid-inducible gene I proteinRIG-I
Q13153|Alpha-PAK
Q13153|p21-activated kinase 1PAK-1
Q13153|p65-PAK
P35638|C/EBP zeta
P35638|C/EBP-homologous proteinCHOP
P35638|C/EBP-homologous protein 10CHOP-10
P35638|Growth arrest and DNA damage-inducible protein GADD153
P35638|CCAAT/enhancer-binding protein homologous protein
P08473|Atriopeptidase
P08473|Common acute lymphocytic leukemia antigenCALLA
P08473|Enkephalinase
P08473|Neutral endopeptidase 24.11NEPNeutral endopeptidase
P08473|Skin fibroblast elastaseSFE
P60484|Mutated in multiple advanced cancers 1
P60484|Phosphatase and tensin homolog
O75582|Nuclear mitogen- and stress-activated protein kinase 1
O75582|RSK-like protein kinaseRSKL
O75582|90 kDa ribosomal protein S6 kinase 5


Q01082|Beta-II spectrin
Q01082|Spectrin, non-erythroid beta chain 1
Q01082|Fodrin beta chain
Q9UNN5|UBX domain-containing protein 3A
Q9UNN5|UBX domain-containing protein 12
P35580|Non-muscle myosin heavy chain IIbNMMHC II-bNMMHC-IIB
P35580|Non-muscle myosin heavy chain BNMMHC-B
P35580|Myosin heavy chain, non-muscle IIb
P35580|Myosin heavy chain 10
P35580|Cellular myosin heavy chain, type B

P30260|H-NUC
P30260|Anaphase-promoting complex subunit 3APC3
P30260|CDC27 homologCDC27Hs



Q14449|GRB14 adapter protein
P83916|p25beta
P83916|Heterochromatin protein 1 homolog betaHP1 beta
P83916|HP1Hsbeta
P83916|Modifier 1 protein
P83916|M31
P83916|Heterochromatin protein p25
Q15555|APC-binding protein EB2
Q15555|End-binding protein 2EB2
P03372|Estradiol receptor
P03372|Nuclear receptor subfamily 3 group A member 1
P03372|ER-alpha
Q13428|Treacher Collins syndrome protein

P04004|Serum-spreading factor
P04004|V75
P04004|S-protein
Q15287|SR-related protein LDC2
P35221|Cadherin-associated protein
P35221|Alpha E-catenin
P35221|Renal carcinoma antigen NY-REN-13
P25490|Delta transcription factor
P25490|NF-E1
P25490|INO80 complex subunit S
P25490|Yin and yang 1YY-1

O60936|Apoptosis repressor with CARD
O60936|Muscle-enriched cytoplasmic proteinMyp
O60936|Nucleolar protein of 30 kDaNop30
P25686|Heat shock 40 kDa protein 3
P25686|Heat shock protein J1HSJ-1
Q8N5B7|LAG1 longevity assurance homolog 5
Q8N5B7|Sphingosine N-acyltransferase CERS5

Q96PX8|Leucine-rich repeat-containing protein 12
P05114|High mobility group nucleosome-binding domain-containing protein 1

Q13393|Phosphatidylcholine-hydrolyzing phospholipase D1
Q13393|Choline phosphatase 1
P49959|Double-strand break repair protein MRE11A
P49959|Meiotic recombination 11 homolog 1MRE11 homolog 1
P49959|Meiotic recombination 11 homolog AMRE11 homolog A
P08235|Nuclear receptor subfamily 3 group C member 2
P45984|JNK-55
P45984|Stress-activated protein kinase 1aSAPK1a
P45984|Stress-activated protein kinase JNK2
P45984|c-Jun N-terminal kinase 2
P05412|Proto-oncogene c-Jun
P05412|V-jun avian sarcoma virus 17 oncogene homolog
P05412|p39
P05412|Activator protein 1AP1
P18846|Activating transcription factor 1
P18846|Protein TREB36
Q96FW1|Deubiquitinating enzyme OTUB1
Q96FW1|OTU domain-containing ubiquitin aldehyde-binding protein 1
Q96FW1|Otubain-1hOTU1
Q96FW1|Ubiquitin-specific-processing protease OTUB1
Q9UKD2|Ribosome assembly factor MRTO4
Q04724|Enhancer of split groucho-like protein 1ESG1
Q04724|E(Sp1) homolog
P35226|Polycomb group RING finger protein 4
P35226|RING finger protein 51
Q9Y6W5|Protein WAVE-2
Q9Y6W5|Verprolin homology domain-containing protein 2
O14958|Calsequestrin, cardiac muscle isoform
Q15003|XCAP-H homolog
Q15003|Chromosome-associated protein HhCAP-H
Q15003|Barren homolog protein 1
Q15003|Non-SMC condensin I complex subunit H
Q9BSI4|TRF1-interacting nuclear protein 2
P09629|Homeobox protein Hox-2C
P09629|Homeobox protein HHO.C1

P08195|4F2 heavy chain antigen
P08195|Lymphocyte activation antigen 4F2 large subunit
P08195|Solute carrier family 3 member 2
Q06787|Fragile X mental retardation protein 1FMRPProtein FMR-1
Q9HA82|LAG1 longevity assurance homolog 4
Q9HA82|Sphingosine N-acyltransferase CERS4
Q14676|Nuclear factor with BRCT domains 1
P06127|Lymphocyte antigen T1/Leu-1


P0DMV8|Heat shock 70 kDa protein 1HSP70.1HSP70-1
Q6ZMG9|LAG1 longevity assurance homolog 6

Q08945|Facilitates chromatin transcription complex 80 kDa subunitFACT 80 kDa subunitFACTp80
Q08945|Chromatin-specific transcription elongation factor 80 kDa subunit
Q08945|Recombination signal sequence recognition protein 1
Q08945|Facilitates chromatin transcription complex subunit SSRP1
Q08945|Structure-specific recognition protein 1hSSRP1
Q08945|T160
Q03014|Homeobox protein PRH

Q9UER7|DaxxhDaxx
Q9UER7|ETS1-associated protein 1EAP1
Q9UER7|Fas death domain-associated protein
Q14940|Solute carrier family 9 member 5
Q14940|Na(+)/H(+) exchanger 5NHE-5
P49810|AD3LP
P49810|AD5
P49810|E5-1
P49810|STM-2
O15266|Pseudoautosomal homeobox-containing osteogenic protein
O15266|Short stature homeobox-containing protein
Q9UHH9|P(i)-uptake stimulatorPiUS
P25963|Major histocompatibility complex enhancer-binding protein MAD3
P25963|I-kappa-B-alphaIkB-alphaIkappaBalpha
P32121|Arrestin beta-2
P32121|Non-visual arrestin-3
P11387|DNA topoisomerase I
Q96SB4|Serine/arginine-rich protein-specific kinase 1SR-protein-specific kinase 1
Q96SB4|SFRS protein kinase 1
O75925|DEAD/H box-binding protein 1
O75925|E3 SUMO-protein transferase PIAS1
O75925|Gu-binding proteinGBP
O75925|Protein inhibitor of activated STAT protein 1
O75925|RNA helicase II-binding protein
Q9UKX2|Myosin heavy chain, skeletal muscle, adult 2
Q9UKX2|Myosin heavy chain IIaMyHC-IIa
Q9UKX2|Myosin heavy chain 2aMyHC-2a
Q9UKX2|Myosin heavy chain 2
Q96EB6|NAD-dependent protein deacylase sirtuin-1
Q96EB6|Regulatory protein SIR2 homolog 1
Q96EB6|SIR2-like protein 1hSIR2
P21673|Polyamine N-acetyltransferase 1
P21673|Putrescine acetyltransferase
P21673|Spermidine/spermine N(1)-acetyltransferase 1SSAT-1SSAT
P11388|DNA topoisomerase II, alpha isozyme
P08833|Placental protein 12PP12
P54252|Spinocerebellar ataxia type 3 protein
P54252|Machado-Joseph disease protein 1

Q9UQE7|Basement membrane-associated chondroitin proteoglycanBamacan
Q9UQE7|Chromosome-associated polypeptidehCAP
Q9UQE7|Chondroitin sulfate proteoglycan 6
P05455|La ribonucleoprotein
P05455|Sjoegren syndrome type B antigenSS-B
P05455|La autoantigen
P10242|Proto-oncogene c-Myb
Q13323|Apoptosis inducer NBK
Q13323|BIP1
Q13323|BP4
P67870|Phosvitin
P67870|Protein G5a

Q9Y5B0|TFIIF-associating CTD phosphatase
P35579|Cellular myosin heavy chain, type A
P35579|Non-muscle myosin heavy chain IIaNMMHC II-aNMMHC-IIA
P35579|Non-muscle myosin heavy chain ANMMHC-A
P35579|Myosin heavy chain, non-muscle IIa
P35579|Myosin heavy chain 9
Q9Y4R8|Protein clk-2 homologhCLK2
Q9NYV6|Transcription initiation factor IATIF-IA
P54252-1|Machado-Joseph disease protein 1
P54252-1|Spinocerebellar ataxia type 3 protein
Q96IZ0|Prostate apoptosis response 4 proteinPar-4
Q00987|Double minute 2 proteinHdm2
Q00987|Oncoprotein Mdm2
Q00987|RING-type E3 ubiquitin transferase Mdm2
Q00987|p53-binding protein Mdm2
Q9Y365|Antigen NY-CO-28
Q9Y365|PCTP-like proteinPCTP-L
Q9Y365|Serologically defined colon cancer antigen 28
Q9Y365|StAR-related lipid transfer protein 10
P54274|TTAGGG repeat-binding factor 1
P54274|NIMA-interacting protein 2
P54274|Telomeric protein Pin2/TRF1
O15259|Juvenile nephronophthisis 1 protein
P08238|Heat shock 84 kDaHSP 84HSP84
O14950|MLC-2AMLC-2
O14950|Myosin regulatory light chain 20 kDaMLC20
O14950|Myosin regulatory light chain 2-B, smooth muscle isoform
O14950|Myosin regulatory light chain MRLC2
O14950|SHUJUN-1
P31749|RAC-PK-alpha
P31749|Proto-oncogene c-Akt
P31749|Protein kinase B alphaPKB alpha
P31749|Protein kinase BPKB
P12821|Kininase II
P12821|Dipeptidyl carboxypeptidase I
P49736|Nuclear protein BM28
P49736|Minichromosome maintenance protein 2 homolog
P49427|(E3-independent) E2 ubiquitin-conjugating enzyme R1
P49427|E2 ubiquitin-conjugating enzyme R1
P49427|Ubiquitin-conjugating enzyme E2-32 kDa complementing
P49427|Ubiquitin-conjugating enzyme E2-CDC34
P49427|Ubiquitin-protein ligase R1
P50895|Lutheran blood group glycoprotein
P50895|Lutheran antigen
P50895|F8/G253 antigen
P50895|B-CAM cell surface glycoprotein
P50895|Auberger B antigen
Q8NE71|ATP-binding cassette 50
Q8NE71|TNF-alpha-stimulated ABC protein
P30203|T12
P30203|TP120
P07900|Lipopolysaccharide-associated protein 2LAP-2LPS-associated protein 2
P07900|Heat shock 86 kDaHSP 86HSP86
P07900|Renal carcinoma antigen NY-REN-38
O75822|Eukaryotic translation initiation factor 3 subunit 1
O75822|eIF-3-alpha
O75822|eIF3 p35
P38398|RING finger protein 53
P38398|RING-type E3 ubiquitin transferase BRCA1
P51946|p34
P51946|MO15-associated protein
P51946|p37
Q92796-2|Neuroendocrine-DLG
Q92796-2|Synapse-associated protein 102SAP-102SAP102
Q92796-2|XLMR
Q13509|Tubulin beta-III
Q13509|Tubulin beta-4 chain
Q04206|Nuclear factor of kappa light polypeptide gene enhancer in B-cells 3
Q04206|Nuclear factor NF-kappa-B p65 subunit
O95905|Human suppressor of GCR twohSGT1
P39687|Acidic nuclear phosphoprotein pp32pp32
P39687|Leucine-rich acidic nuclear proteinLANP
P39687|Mapmodulin
P39687|Potent heat-stable protein phosphatase 2A inhibitor I1PP2A
P39687|Putative HLA-DR-associated protein IPHAPI
P46531|Translocation-associated notch protein TAN-1
Q8TAE8|39S ribosomal protein L59, mitochondrialMRP-L59
Q8TAE8|CKII beta-associating protein
Q8TAE8|CR6-interacting factor 1CRIF1
Q8TAE8|Mitochondrial large ribosomal subunit protein mL64
Q8TAE8|Papillomavirus L2-interacting nuclear protein 1PLINPPLINP-1
Q8TAE8|p53-responsive gene 6 protein
P11717|Insulin-like growth factor 2 receptor
P11717|300 kDa mannose 6-phosphate receptorMPR 300
P11717|M6P/IGF2 receptorM6P/IGF2R
P11717|Insulin-like growth factor II receptorIGF-II receptor
P19447|Basic transcription factor 2 89 kDa subunitBTF2 p89
P19447|DNA excision repair protein ERCC-3
P19447|DNA repair protein complementing XP-B cells
P19447|TFIIH basal transcription factor complex 89 kDa subunitTFIIH 89 kDa subunitTFIIH p89
P19447|Xeroderma pigmentosum group B-complementing protein
Q92915|Fibroblast growth factor homologous factor 4FHF-4
Q16666|Interferon-inducible myeloid differentiation transcriptional activator
Q15084|Endoplasmic reticulum protein 5ER protein 5ERp5
Q15084|Protein disulfide isomerase P5
Q15084|Thioredoxin domain-containing protein 7
P31751|Protein kinase B betaPKB beta
P31751|RAC-PK-beta
P31751|Protein kinase Akt-2
Q9UJU2|T cell-specific transcription factor 1-alphaTCF1-alpha
P30622|Cytoplasmic linker protein 1
P30622|Cytoplasmic linker protein 170 alpha-2CLIP-170
P30622|Reed-Sternberg intermediate filament-associated protein
P30622|Restin
P20042|Eukaryotic translation initiation factor 2 subunit betaeIF-2-beta
Q712K3|E2 ubiquitin-conjugating enzyme R2
Q712K3|Ubiquitin carrier protein R2
Q712K3|Ubiquitin-conjugating enzyme E2-CDC34B
Q712K3|Ubiquitin-protein ligase R2
P29692|Antigen NY-CO-4

P33527|ATP-binding cassette sub-family C member 1
P33527|Glutathione-S-conjugate-translocating ATPase ABCC1
P33527|Leukotriene C(4) transporterLTC4 transporter
P13569|ATP-binding cassette sub-family C member 7
P13569|Channel conductance-controlling ATPase
P13569|cAMP-dependent chloride channel
O95477|ATP-binding cassette sub-family A member 1
O95477|ATP-binding cassette transporter 1ATP-binding cassette 1ABC-1
O95477|Cholesterol efflux regulatory protein
P09958|Dibasic-processing enzyme
P09958|Paired basic amino acid residue-cleaving enzymePACE
P41208|Caltractin isoform 1
P28482|Mitogen-activated protein kinase 2MAP kinase 2MAPK 2
P28482|MAP kinase isoform p42p42-MAPK
P28482|Extracellular signal-regulated kinase 2ERK-2
P28482|ERT1
P01106|Transcription factor p64
P01106|Proto-oncogene c-Myc
P01106|Class E basic helix-loop-helix protein 39bHLHe39
P22736|Testicular receptor 3
P22736|ST-59
P22736|Orphan nuclear receptor TR3
P22736|Orphan nuclear receptor HMR
P22736|Nuclear hormone receptor NUR/77Nur77
P22736|Early response protein NAK1
Q9UBF6|CKII beta-binding protein 1CKBBP1
Q9UBF6|RING finger protein 7
Q9UBF6|Regulator of cullins 2
Q9UBF6|Sensitive to apoptosis gene protein
Q96RL1|Receptor-associated protein 80
Q96RL1|Retinoid X receptor-interacting protein 110
Q96RL1|Ubiquitin interaction motif-containing protein 1
Q01831|Xeroderma pigmentosum group C-complementing protein
Q01831|p125
P49716|Nuclear factor NF-IL6-betaNF-IL6-beta
P10646|Extrinsic pathway inhibitorEPI
P10646|Lipoprotein-associated coagulation inhibitorLACI
Q15672|Class A basic helix-loop-helix protein 38bHLHa38
Q15672|H-twist
Q16623|Neuron-specific antigen HPC-1
Q99638|DNA repair exonuclease rad9 homolog A
Q96HZ4|C-HAIRY1
Q96HZ4|Class B basic helix-loop-helix protein 41bHLHb41
Q96HZ4|Hairy and enhancer of split 6
Q9ULV4|Coronin-3
Q9ULV4|hCRNN4
Q92688|Acidic protein rich in leucines
Q92688|Putative HLA-DR-associated protein I-2PHAPI2
Q92688|Silver-stainable protein SSP29
P40337|Protein G7
P40337|pVHL
P48426|PtdIns(5)P-4-kinase isoform 2-alpha
P48426|PtdIns(4)P-5-kinase C isoform
P48426|PtdIns(4)P-5-kinase B isoform
P48426|Phosphatidylinositol 5-phosphate 4-kinase type II alphaPI(5)P 4-kinase type II alphaPIP4KII-alpha
P48426|PIP5KIII
P48426|Diphosphoinositide kinase 2-alpha
P48426|1-phosphatidylinositol 5-phosphate 4-kinase 2-alpha
P10243|Myb-like protein 1
Q06265|Autoantigen PM/Scl 1
Q06265|Exosome component 9
Q06265|P75 polymyositis-scleroderma overlap syndrome-associated autoantigen
Q06265|Polymyositis/scleroderma autoantigen 1
Q06265|Polymyositis/scleroderma autoantigen 75 kDaPM/Scl-75
Q92784-2|BRG1-associated factor 45CBAF45C
Q92784-2|Zinc finger protein cer-d4
P56270|Zinc finger protein 801
P56270|ZF87
P56270|Transcription factor Zif87
P56270|Serum amyloid A-activating factor-1SAF-1
P56270|Purine-binding transcription factor
P56270|Pur-1
Q9BPX3|Condensin subunit CAP-GhCAP-G
Q9BPX3|Chromosome-associated protein G
Q9BPX3|Melanoma antigen NY-MEL-3
Q9BPX3|XCAP-G homolog
Q9BPX3|Non-SMC condensin I complex subunit G
Q06609|RAD51 homolog A

P23760|HuP2
P20810|Calpain inhibitor
P20810|Sperm BS-17 component
P14317|LckBP1
P14317|p75
P14317|Hematopoietic cell-specific LYN substrate 1
Q15653|Thyroid receptor-interacting protein 9TR-interacting protein 9TRIP-9
Q15653|I-kappa-B-betaIkB-BIkB-betaIkappaBbeta
Q13829|Protein B12
Q13829|BTB/POZ domain-containing protein TNFAIP1
Q13829|Tumor necrosis factor, alpha-induced protein 1, endothelial
Q9UJY5|Gamma-adaptin-related protein 1
