Family,name,name_human,uniprot
CAMK Ser/Thr,STK17B,ST17B_HUMAN,O94768
CAMK Ser/Thr,STK33,STK33_HUMAN,Q9BYT3
CAMK Ser/Thr,STK40,STK40_HUMAN,Q8N2I9
CAMK Ser/Thr,TRIB1,TRIB1_HUMAN,Q96RU8
CAMK Ser/Thr,TRIB2,TRIB2_HUMAN,Q92519
CAMK Ser/Thr,TRIB3,TRIB3_HUMAN,Q96RU7
CAMK Ser/Thr,TRIO,TRIO_HUMAN,O75962
CAMK Ser/Thr,TSSK1B,TSSK1_HUMAN,Q9BXA7
CAMK Ser/Thr,TSSK2,TSSK2_HUMAN,Q96PF2
CAMK Ser/Thr,TSSK3,TSSK3_HUMAN,Q96PN8
CAMK Ser/Thr,TSSK4,TSSK4_HUMAN,Q6SA08
CAMK Ser/Thr,TSSK6,TSSK6_HUMAN,Q9BXA6
CAMK Ser/Thr,TTN,TITIN_HUMAN,Q8WZ42
CK1 Ser/Thr,CSNK1A1,KC1A_HUMAN,P48729
CK1 Ser/Thr,CSNK1A1L,KC1AL_HUMAN,Q8N752
CK1 Ser/Thr,CSNK1D,KC1D_HUMAN,P48730
CK1 Ser/Thr,CSNK1E,KC1E_HUMAN,P49674
CK1 Ser/Thr,CSNK1G1,KC1G1_HUMAN,Q9HCP0
CK1 Ser/Thr,CSNK1G2,KC1G2_HUMAN,P78368
CK1 Ser/Thr,CSNK1G3,KC1G3_HUMAN,Q9Y6M4
CK1 Ser/Thr,TTBK1,TTBK1_HUMAN,Q5TCY1
CK1 Ser/Thr,TTBK2,TTBK2_HUMAN,Q6IQ55
CK1 Ser/Thr,VRK1,VRK1_HUMAN,Q99986
CK1 Ser/Thr,VRK2,VRK2_HUMAN,Q86Y07
CK1 Ser/Thr,VRK3,VRK3_HUMAN,Q8IV63
CMGC Ser/Thr,CDK1,CDK1_HUMAN,P06493
CMGC Ser/Thr,CDK10,CDK10_HUMAN,Q15131
CMGC Ser/Thr,CDK11A,CD11A_HUMAN,Q9UQ88
CMGC Ser/Thr,CDK11B,CD11B_HUMAN,P21127
CMGC Ser/Thr,CDK12,CDK12_HUMAN,Q9NYV4
CMGC Ser/Thr,CDK13,CDK13_HUMAN,Q14004
CMGC Ser/Thr,CDK14,CDK14_HUMAN,O94921
CMGC Ser/Thr,CDK15,CDK15_HUMAN,Q96Q40
CMGC Ser/Thr,CDK16,CDK16_HUMAN,Q00536
CMGC Ser/Thr,CDK17,CDK17_HUMAN,Q00537
CMGC Ser/Thr,CDK18,CDK18_HUMAN,Q07002
CMGC Ser/Thr,CDK19,CDK19_HUMAN,Q9BWU1
CMGC Ser/Thr,CDK2,CDK2_HUMAN,P24941
CMGC Ser/Thr,CDK20,CDK20_HUMAN,Q8IZL9
CMGC Ser/Thr,CDK3,CDK3_HUMAN,Q00526
CMGC Ser/Thr,CDK4,CDK4_HUMAN,P11802
CMGC Ser/Thr,CDK5,CDK5_HUMAN,Q00535
CMGC Ser/Thr,CDK6,CDK6_HUMAN,Q00534
CMGC Ser/Thr,CDK7,CDK7_HUMAN,P50613
CMGC Ser/Thr,CDK8,CDK8_HUMAN,P49336
CMGC Ser/Thr,CDK9,CDK9_HUMAN,P50750
CMGC Ser/Thr,CDKL1,CDKL1_HUMAN,Q00532
CMGC Ser/Thr,CDKL2,CDKL2_HUMAN,Q92772
CMGC Ser/Thr,CDKL3,CDKL3_HUMAN,Q8IVW4
CMGC Ser/Thr,CDKL4,CDKL4_HUMAN,Q5MAI5
CMGC Ser/Thr,CDKL5,CDKL5_HUMAN,O76039
CMGC Ser/Thr,CLK1,CLK1_HUMAN,P49759
CMGC Ser/Thr,CLK2,CLK2_HUMAN,P49760
CMGC Ser/Thr,CLK3,CLK3_HUMAN,P49761
CMGC Ser/Thr,CLK4,CLK4_HUMAN,Q9HAZ1
CMGC Ser/Thr,DYRK1A,DYR1A_HUMAN,Q13627
CMGC Ser/Thr,DYRK1B,DYR1B_HUMAN,Q9Y463
CMGC Ser/Thr,DYRK2,DYRK2_HUMAN,Q92630
CMGC Ser/Thr,DYRK3,DYRK3_HUMAN,O43781
CMGC Ser/Thr,DYRK4,DYRK4_HUMAN,Q9NR20
CMGC Ser/Thr,GSK3A,GSK3A_HUMAN,P49840
CMGC Ser/Thr,GSK3B,GSK3B_HUMAN,P49841
CMGC Ser/Thr,HIPK1,HIPK1_HUMAN,Q86Z02
CMGC Ser/Thr,HIPK2,HIPK2_HUMAN,Q9H2X6
CMGC Ser/Thr,HIPK3,HIPK3_HUMAN,Q9H422
CMGC Ser/Thr,HIPK4,HIPK4_HUMAN,Q8NE63
CMGC Ser/Thr,ICK,ICK_HUMAN,Q9UPZ9
CMGC Ser/Thr,MAK,MAK_HUMAN,P20794
CMGC Ser/Thr,MAPK1,MK01_HUMAN,P28482
CMGC Ser/Thr,MAPK10,MK10_HUMAN,P53779
CMGC Ser/Thr,MAPK11,MK11_HUMAN,Q15759
CMGC Ser/Thr,MAPK12,MK12_HUMAN,P53778
CMGC Ser/Thr,MAPK13,MK13_HUMAN,O15264
CMGC Ser/Thr,MAPK14,MK14_HUMAN,Q16539
CMGC Ser/Thr,MAPK15,MK15_HUMAN,Q8TD08
CMGC Ser/Thr,MAPK3,MK03_HUMAN,P27361
CMGC Ser/Thr,MAPK4,MK04_HUMAN,P31152
CMGC Ser/Thr,MAPK6,MK06_HUMAN,Q16659
CMGC Ser/Thr,MAPK7,MK07_HUMAN,Q13164
CMGC Ser/Thr,MAPK8,MK08_HUMAN,P45983
CMGC Ser/Thr,MAPK9,MK09_HUMAN,P45984
CMGC Ser/Thr,MOK,MOK_HUMAN,Q9UQ07
CMGC Ser/Thr,NLK,NLK_HUMAN,Q9UBE8
CMGC Ser/Thr,PRPF4B,PRP4B_HUMAN,Q13523
CMGC Ser/Thr,SRPK1,SRPK1_HUMAN,Q96SB4
CMGC Ser/Thr,SRPK2,SRPK2_HUMAN,P78362
CMGC Ser/Thr,SRPK3,SRPK3_HUMAN,Q9UPE1
NEK Ser/Thr,NEK1,NEK1_HUMAN,Q96PY6
NEK Ser/Thr,NEK10,NEK10_HUMAN,Q6ZWH5
NEK Ser/Thr,NEK11,NEK11_HUMAN,Q8NG66
NEK Ser/Thr,NEK2,NEK2_HUMAN,P51955
NEK Ser/Thr,NEK3,NEK3_HUMAN,P51956
NEK Ser/Thr,NEK4,NEK4_HUMAN,P51957
NEK Ser/Thr,NEK5,NEK5_HUMAN,Q6P3R8
NEK Ser/Thr,NEK6,NEK6_HUMAN,Q9HC98
NEK Ser/Thr,NEK7,NEK7_HUMAN,Q8TDX7
NEK Ser/Thr,NEK8,NEK8_HUMAN,Q86SG6
NEK Ser/Thr,NEK9,NEK9_HUMAN,Q8TD19
RGC kinase: adenylyl cyclase class-4/guanylyl cyclase,GUCY2C,GUC2C_HUMAN,P25092
RGC kinase: adenylyl cyclase class-4/guanylyl cyclase,GUCY2D,GUC2D_HUMAN,Q02846
RGC kinase: adenylyl cyclase class-4/guanylyl cyclase,GUCY2F,GUC2F_HUMAN,P51841
RGC kinase: adenylyl cyclase class-4/guanylyl cyclase,NPR1,ANPRA_HUMAN,P16066
RGC kinase: adenylyl cyclase class-4/guanylyl cyclase,NPR2,ANPRB_HUMAN,P20594
STE Ser/Thr,MAP2K1,MP2K1_HUMAN,Q02750
STE Ser/Thr,MAP2K2,MP2K2_HUMAN,P36507
STE Ser/Thr,MAP2K3,MP2K3_HUMAN,P46734
STE Ser/Thr,MAP2K4,MP2K4_HUMAN,P45985
STE Ser/Thr,MAP2K5,MP2K5_HUMAN,Q13163
STE Ser/Thr,MAP2K6,MP2K6_HUMAN,P52564
STE Ser/Thr,MAP2K7,MP2K7_HUMAN,O14733
STE Ser/Thr,MAP3K1,M3K1_HUMAN,Q13233
STE Ser/Thr,MAP3K10,M3K10_HUMAN,Q02779
STE Ser/Thr,MAP3K11,M3K11_HUMAN,Q16584
STE Ser/Thr,MAP3K12,M3K12_HUMAN,Q12852
STE Ser/Thr,MAP3K13,M3K13_HUMAN,O43283
STE Ser/Thr,MAP3K14,M3K14_HUMAN,Q99558
STE Ser/Thr,MAP3K15,M3K15_HUMAN,Q6ZN16
STE Ser/Thr,MAP3K19,M3K19_HUMAN,Q56UN5
STE Ser/Thr,MAP3K2,M3K2_HUMAN,Q9Y2U5
STE Ser/Thr,MAP3K20,M3K20_HUMAN,Q9NYL2
STE Ser/Thr,MAP3K21,M3K21_HUMAN,Q5TCX8
STE Ser/Thr,MAP3K3,M3K3_HUMAN,Q99759
STE Ser/Thr,MAP3K4,M3K4_HUMAN,Q9Y6R4
STE Ser/Thr,MAP3K5,M3K5_HUMAN,Q99683
STE Ser/Thr,MAP3K6,M3K6_HUMAN,O95382
STE Ser/Thr,MAP3K7,M3K7_HUMAN,O43318
STE Ser/Thr,MAP3K8,M3K8_HUMAN,P41279
STE Ser/Thr,MAP3K9,M3K9_HUMAN,P80192
STE Ser/Thr,MAP4K1,M4K1_HUMAN,Q92918
STE Ser/Thr,MAP4K2,M4K2_HUMAN,Q12851
STE Ser/Thr,MAP4K3,M4K3_HUMAN,Q8IVH8
STE Ser/Thr,MAP4K4,M4K4_HUMAN,O95819
STE Ser/Thr,MAP4K5,M4K5_HUMAN,Q9Y4K4
STE Ser/Thr,MINK1,MINK1_HUMAN,Q8N4C8
STE Ser/Thr,MYO3A,MYO3A_HUMAN,Q8NEV4
STE Ser/Thr,MYO3B,MYO3B_HUMAN,Q8WXR4
STE Ser/Thr,NRK,NRK_HUMAN,Q7Z2Y5
STE Ser/Thr,OXSR1,OXSR1_HUMAN,O95747
STE Ser/Thr,PAK1,PAK1_HUMAN,Q13153
STE Ser/Thr,PAK2,PAK2_HUMAN,Q13177
STE Ser/Thr,PAK3,PAK3_HUMAN,O75914
STE Ser/Thr,PAK4,PAK4_HUMAN,O96013
STE Ser/Thr,PAK5,PAK5_HUMAN,Q9P286
STE Ser/Thr,PAK6,PAK6_HUMAN,Q9NQU5
STE Ser/Thr,PBK,TOPK_HUMAN,Q96KB5
STE Ser/Thr,SLK,SLK_HUMAN,Q9H2G2
STE Ser/Thr,STK10,STK10_HUMAN,O94804
STE Ser/Thr,STK24,STK24_HUMAN,Q9Y6E0
STE Ser/Thr,STK25,STK25_HUMAN,O00506
STE Ser/Thr,STK26,STK26_HUMAN,Q9P289
STE Ser/Thr,STK3,STK3_HUMAN,Q13188
STE Ser/Thr,STK39,STK39_HUMAN,Q9UEW8
STE Ser/Thr,STK4,STK4_HUMAN,Q13043
STE Ser/Thr,STRADA,STRAA_HUMAN,Q7RTN6
STE Ser/Thr,STRADB,STRAB_HUMAN,Q9C0K7
STE Ser/Thr,TAOK1,TAOK1_HUMAN,Q7L7X3
STE Ser/Thr,TAOK2,TAOK2_HUMAN,Q9UL54
STE Ser/Thr,TAOK3,TAOK3_HUMAN,Q9H2K8
STE Ser/Thr,TNIK,TNIK_HUMAN,Q9UKE5
TKL Ser/Thr,ACVR1,ACVR1_HUMAN,Q04771
TKL Ser/Thr,ACVR1B,ACV1B_HUMAN,P36896
TKL Ser/Thr,ACVR1C,ACV1C_HUMAN,Q8NER5
TKL Ser/Thr,ACVR2A,AVR2A_HUMAN,P27037
TKL Ser/Thr,ACVR2B,AVR2B_HUMAN,Q13705
TKL Ser/Thr,ACVRL1,ACVL1_HUMAN,P37023
TKL Ser/Thr,AMHR2,AMHR2_HUMAN,Q16671
TKL Ser/Thr,ANKK1,ANKK1_HUMAN,Q8NFD2
TKL Ser/Thr,ARAF,ARAF_HUMAN,P10398
TKL Ser/Thr,BMPR1A,BMR1A_HUMAN,P36894
TKL Ser/Thr,BMPR1B,BMR1B_HUMAN,O00238
TKL Ser/Thr,BMPR2,BMPR2_HUMAN,Q13873
TKL Ser/Thr,BRAF,BRAF_HUMAN,P15056
TKL Ser/Thr,ILK,ILK_HUMAN,Q13418
TKL Ser/Thr,IRAK1,IRAK1_HUMAN,P51617
TKL Ser/Thr,IRAK2,IRAK2_HUMAN,O43187
TKL Ser/Thr,IRAK3,IRAK3_HUMAN,Q9Y616
TKL Ser/Thr,IRAK4,IRAK4_HUMAN,Q9NWZ3
TKL Ser/Thr,KSR1,KSR1_HUMAN,Q8IVT5
TKL Ser/Thr,KSR2,KSR2_HUMAN,Q6VAB6
TKL Ser/Thr,LIMK1,LIMK1_HUMAN,P53667
TKL Ser/Thr,LIMK2,LIMK2_HUMAN,P53671
TKL Ser/Thr,LRRK1,LRRK1_HUMAN,Q38SD2
TKL Ser/Thr,LRRK2,LRRK2_HUMAN,Q5S007
TKL Ser/Thr,RAF1,RAF1_HUMAN,P04049
TKL Ser/Thr,RIPK1,RIPK1_HUMAN,Q13546
TKL Ser/Thr,RIPK2,RIPK2_HUMAN,O43353
TKL Ser/Thr,RIPK3,RIPK3_HUMAN,Q9Y572
TKL Ser/Thr,RIPK4,RIPK4_HUMAN,P57078
TKL Ser/Thr,TESK1,TESK1_HUMAN,Q15569
TKL Ser/Thr,TESK2,TESK2_HUMAN,Q96S53
TKL Ser/Thr,TGFBR1,TGFR1_HUMAN,P36897
TKL Ser/Thr,TGFBR2,TGFR2_HUMAN,P37173
TKL Ser/Thr,TNNI3K,TNI3K_HUMAN,Q59H18
Tyr,AATK,LMTK1_HUMAN,Q6ZMQ8
Tyr,ABL1,ABL1_HUMAN,P00519
Tyr,ABL2,ABL2_HUMAN,P42684
Tyr,ALK,ALK_HUMAN,Q9UM73
Tyr,AXL,UFO_HUMAN,P30530
Tyr,BLK,BLK_HUMAN,P51451
Tyr,BMX,BMX_HUMAN,P51813
Tyr,BTK,BTK_HUMAN,Q06187
Tyr,CSF1R,CSF1R_HUMAN,P07333
Tyr,CSK,CSK_HUMAN,P41240
Tyr,DDR1,DDR1_HUMAN,Q08345
Tyr,DDR2,DDR2_HUMAN,Q16832
Tyr,EGFR,EGFR_HUMAN,P00533
Tyr,EPHA1,EPHA1_HUMAN,P21709
Tyr,EPHA10,EPHAA_HUMAN,Q5JZY3
Tyr,EPHA2,EPHA2_HUMAN,P29317
Tyr,EPHA3,EPHA3_HUMAN,P29320
Tyr,EPHA4,EPHA4_HUMAN,P54764
Tyr,EPHA5,EPHA5_HUMAN,P54756
Tyr,EPHA6,EPHA6_HUMAN,Q9UF33
Tyr,EPHA7,EPHA7_HUMAN,Q15375
Tyr,EPHA8,EPHA8_HUMAN,P29322
Tyr,EPHB1,EPHB1_HUMAN,P54762
Tyr,EPHB2,EPHB2_HUMAN,P29323
Tyr,EPHB3,EPHB3_HUMAN,P54753
Tyr,EPHB4,EPHB4_HUMAN,P54760
Tyr,EPHB6,EPHB6_HUMAN,O15197
Tyr,ERBB2,ERBB2_HUMAN,P04626
Tyr,ERBB3,ERBB3_HUMAN,P21860
Tyr,ERBB4,ERBB4_HUMAN,Q15303
Tyr,FER,FER_HUMAN,P16591
Tyr,FES,FES_HUMAN,P07332
Tyr,FGFR1,FGFR1_HUMAN,P11362
Tyr,FGFR2,FGFR2_HUMAN,P21802
Tyr,FGFR3,FGFR3_HUMAN,P22607
Tyr,FGFR4,FGFR4_HUMAN,P22455
Tyr,FGR,FGR_HUMAN,P09769
Tyr,FLT1,VGFR1_HUMAN,P17948
Tyr,FLT3,FLT3_HUMAN,P36888
Tyr,FLT4,VGFR3_HUMAN,P35916
Tyr,FRK,FRK_HUMAN,P42685
Tyr,FYN,FYN_HUMAN,P06241
Tyr,HCK,HCK_HUMAN,P08631
Tyr,IGF1R,IGF1R_HUMAN,P08069
Tyr,INSR,INSR_HUMAN,P06213
Tyr,INSRR,INSRR_HUMAN,P14616
Tyr,ITK,ITK_HUMAN,Q08881
Tyr,JAK1,JAK1_HUMAN,P23458
Tyr,JAK2,JAK2_HUMAN,O60674
Tyr,JAK3,JAK3_HUMAN,P52333
Tyr,KDR,VGFR2_HUMAN,P35968
Tyr,KIT,KIT_HUMAN,P10721
Tyr,LCK,LCK_HUMAN,P06239
Tyr,LMTK2,LMTK2_HUMAN,Q8IWU2
Tyr,LMTK3,LMTK3_HUMAN,Q96Q04
Tyr,LTK,LTK_HUMAN,P29376
Tyr,LYN,LYN_HUMAN,P07948
Tyr,MATK,MATK_HUMAN,P42679
Tyr,MERTK,MERTK_HUMAN,Q12866
Tyr,MET,MET_HUMAN,P08581
Tyr,MST1R,RON_HUMAN,Q04912
Tyr,MUSK,MUSK_HUMAN,O15146
Tyr,NTRK1,NTRK1_HUMAN,P04629
Tyr,NTRK2,NTRK2_HUMAN,Q16620
Tyr,NTRK3,NTRK3_HUMAN,Q16288
Tyr,PDGFRA,PGFRA_HUMAN,P16234
Tyr,PDGFRB,PGFRB_HUMAN,P09619
Tyr,PTK2,FAK1_HUMAN,Q05397
Tyr,PTK2B,FAK2_HUMAN,Q14289
Tyr,PTK6,PTK6_HUMAN,Q13882
Tyr,PTK7,PTK7_HUMAN,Q13308
Tyr,RET,RET_HUMAN,P07949
Tyr,ROR1,ROR1_HUMAN,Q01973
Tyr,ROR2,ROR2_HUMAN,Q01974
Tyr,ROS1,ROS1_HUMAN,P08922
Tyr,RYK,RYK_HUMAN,P34925
Tyr,SRC,SRC_HUMAN,P12931
Tyr,SRMS,SRMS_HUMAN,Q9H3Y6
Tyr,STYK1,STYK1_HUMAN,Q6J9G0
Tyr,SYK,KSYK_HUMAN,P43405
Tyr,TEC,TEC_HUMAN,P42680
Tyr,TEK,TIE2_HUMAN,Q02763
Tyr,TIE1,TIE1_HUMAN,P35590
Tyr,TNK1,TNK1_HUMAN,Q13470
Tyr,TNK2,ACK1_HUMAN,Q07912
Tyr,TXK,TXK_HUMAN,P42681
Tyr,TYK2,TYK2_HUMAN,P29597
Tyr,TYRO3,TYRO3_HUMAN,Q06418
Tyr,YES1,YES_HUMAN,P07947
Tyr,ZAP70,ZAP70_HUMAN,P43403
Other,AAK1,AAK1_HUMAN,Q2M2I8
Other,AURKA,AURKA_HUMAN,O14965
Other,AURKB,AURKB_HUMAN,Q96GD4
Other,AURKC,AURKC_HUMAN,Q9UQB9
Other,BMP2K,BMP2K_HUMAN,Q9NSY1
Other,BUB1,BUB1_HUMAN,O43683
Other,BUB1B,BUB1B_HUMAN,O60566
Other,CAMKK1,KKCC1_HUMAN,Q8N5S9
Other,CAMKK2,KKCC2_HUMAN,Q96RR4
Other,CDC7,CDC7_HUMAN,O00311
Other,CHUK,IKKA_HUMAN,O15111
Other,CSNK2A1,CSK21_HUMAN,P68400
Other,CSNK2A2,CSK22_HUMAN,P19784
Other,CSNK2A3,CSK23_HUMAN,Q8NEV1
Other,DSTYK,DUSTY_HUMAN,Q6XUX3
Other,EIF2AK1,E2AK1_HUMAN,Q9BQI3
Other,EIF2AK2,E2AK2_HUMAN,P19525
Other,EIF2AK3,E2AK3_HUMAN,Q9NZJ5
Other,EIF2AK4,E2AK4_HUMAN,Q9P2K8
Other,ERN1,ERN1_HUMAN,O75460
Other,ERN2,ERN2_HUMAN,Q76MJ5
Other,GAK,GAK_HUMAN,O14976
Other,HASPIN,HASP_HUMAN,Q8TF76
Other,IKBKB,IKKB_HUMAN,O14920
Other,IKBKE,IKKE_HUMAN,Q14164
Other,MLKL,MLKL_HUMAN,Q8NB16
Other,MOS,MOS_HUMAN,P00540
Other,NRBP1,NRBP_HUMAN,Q9UHY1
Other,NRBP2,NRBP2_HUMAN,Q9NSY0
Other,PAN3,PAN3_HUMAN,Q58A45
Other,PDIK1L,PDK1L_HUMAN,Q8N165
Other,PEAK1,PEAK1_HUMAN,Q9H792
