uniprot_id|name|short



P16104|Histone H2A.X
P41743|Atypical protein kinase C-lambda/iotaPRKC-lambda/iotaaPKC-lambda/iota




P17676|Liver activator proteinLAP
P17676|Liver-enriched inhibitory proteinLIP
P17676|Nuclear factor NF-IL6
P17676|Transcription factor 5TCF-5

Q01094|Retinoblastoma-binding protein 3RBBP-3
Q01094|pRB-binding protein E2F-1
Q01094|PBR3
Q01094|Retinoblastoma-associated protein 1RBAP-1




P10244|Myb-like protein 2







O14733|c-Jun N-terminal kinase kinase 2JNK kinase 2JNKK 2
O14733|Stress-activated protein kinase kinase 4SAPK kinase 4SAPKK-4SAPKK4
O14733|MAPK/ERK kinase 7MEK 7
O14733|JNK-activating kinase 2
P46013|Antigen identified by monoclonal antibody Ki-67Antigen KI-67Antigen Ki67





P34947|G protein-coupled receptor kinase GRK5


P35626|G-protein-coupled receptor kinase 3











Q13426|X-ray repair cross-complementing protein 4

P11362|Basic fibroblast growth factor receptor 1bFGF-R-1BFGFR
P11362|Fms-like tyrosine kinase 2FLT-2
P11362|N-sam
P11362|Proto-oncogene c-Fgr

















Q562F6|Shugoshin-2
Q562F6|Shugoshin-like 2
Q562F6|Tripin


Q66GS9|Centrosomal protein 4















O95251|Histone acetyltransferase binding to ORC1
O95251|Lysine acetyltransferase 7
O95251|MOZ, YBF2/SAS3, SAS2 and TIP60 protein 2MYST-2





P20248|Cyclin A










Q9UJX6|Cyclosome subunit 2
P15172|Myogenic factor 3Myf-3
P15172|Class C basic helix-loop-helix protein 1bHLHc1










P42772|p14-INK4b
P42772|p15-INK4bp15INK4B
P42772|Multiple tumor suppressor 2MTS-2
P16989|DNA-binding protein A
P16989|Cold shock domain-containing protein A
P16989|Single-strand DNA-binding protein NF-GMB










Q16514|Transcription initiation factor TFIID 20/15 kDa subunitsTAFII-20/TAFII-15TAFII20/TAFII15


















P42685|Protein-tyrosine kinase 5
P42685|Nuclear tyrosine protein kinase RAK
P42685|FYN-related kinase

Q8WTQ7|G protein-coupled receptor kinase 7
Q8WTQ7|G protein-coupled receptor kinase GRK7
P42261|GluR-K1
P42261|Glutamate receptor ionotropic, AMPA 1GluA1
P42261|AMPA-selective glutamate receptor 1
P42261|GluR-A





O95239|Chromokinesin-A


P52732|Kinesin-related motor protein Eg5
P52732|Thyroid receptor-interacting protein 5TR-interacting protein 5TRIP-5
P52732|Kinesin-like protein 1
P52732|Kinesin-like spindle protein HKSP
Q9UQE7|Basement membrane-associated chondroitin proteoglycanBamacan
Q9UQE7|Chromosome-associated polypeptidehCAP
Q9UQE7|Chondroitin sulfate proteoglycan 6














P09769|p58-Fgr
P09769|p55-Fgr
P09769|p58c-Fgr
P09769|Proto-oncogene c-Fgr
P09769|Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog














P42684|Abelson murine leukemia viral oncogene homolog 2
P42684|Abelson tyrosine-protein kinase 2
P42684|Abelson-related gene protein
P42684|Tyrosine-protein kinase ARG
















Q05940|Solute carrier family 18 member 2
Q05940|Vesicular amine transporter 2VAT2
Q05940|Monoamine transporter

A0A024R328|nPKC-delta






P28066|Macropain zeta chain
P28066|Multicatalytic endopeptidase complex zeta chain
P28066|Proteasome zeta chain




O15370|Protein SOX-22



Q8NHZ8|Anaphase-promoting complex subunit 12APC12
Q8NHZ8|Cell division cycle protein 26 homolog










A5D8V6|ESCRT-I complex subunit VPS37C

P41208|Caltractin isoform 1


Q8TAP9|TTD non-photosensitive 1 protein

Q13370|CGIPDE1CGIP1
Q13370|Cyclic GMP-inhibited phosphodiesterase BCGI-PDE B









Q03188|Centromere autoantigen C
Q03188|Centromere protein C 1CENP-C 1
Q03188|Interphase centromere complex protein 7





Q8WUM0|Nucleoporin Nup133
Q8WUM0|133 kDa nucleoporin












O43157|Semaphorin receptor SEP





Q02363|Inhibitor of DNA binding 2
Q02363|Inhibitor of differentiation 2
Q02363|Class B basic helix-loop-helix protein 26bHLHb26





Q9UKK3|193 kDa vault protein
Q9UKK3|ADP-ribosyltransferase diphtheria toxin-like 4ARTD4
Q9UKK3|PARP-related/IalphaI-related H5/proline-richPH5P
Q9UKK3|Poly [ADP-ribose] polymerase 4PARP-4
Q9UKK3|Vault poly(ADP-ribose) polymeraseVPARP


Q15149|Plectin-1
Q15149|Hemidesmosomal protein 1HD1




Q96EA4|Arsenite-related gene 1 protein
Q96EA4|Coiled-coil domain-containing protein 99
Q96EA4|Rhabdomyosarcoma antigen MU-RMS-40.4A
Q96EA4|Spindle apparatus coiled-coil domain-containing protein 1


Q9UEW8|Serine/threonine-protein kinase 39
Q9UEW8|DCHT


Q15004|Hepatitis C virus NS5A-transactivated protein 9HCV NS5A-transactivated protein 9
Q15004|Overexpressed in anaplastic thyroid carcinoma 1OEATC-1
Q15004|PCNA-associated factor of 15 kDaPAF15p15PAF
Q15004|PCNA-clamp-associated factor





Q8NG31|ALL1-fused gene from chromosome 15q14 proteinAF15q14
Q8NG31|Bub-linking kinetochore proteinBlinkin
Q8NG31|Cancer susceptibility candidate gene 5 protein
Q8NG31|Cancer/testis antigen 29CT29
Q8NG31|Kinetochore-null protein 1
Q8NG31|Protein CASC5
Q8NG31|Protein D40/AF15q14


Q9H1E3|P1



O43303|Centrosomal protein of 110 kDaCP110Cep110
P51813|Bone marrow tyrosine kinase gene in chromosome X protein
P51813|Epithelial and endothelial tyrosine kinaseETK
P51813|NTK38






Q86XR7|Putative NF-kappa-B-activating protein 502
Q86XR7|Toll/interleukin-1 receptor domain-containing proteinMyD88-4
Q86XR7|TRIF-related adapter molecule
Q86XR7|Toll-like receptor adaptor protein 3


P55273|p19-INK4d



P54753|Tyrosine-protein kinase TYRO6
P54753|EPH-like tyrosine kinase 2EPH-like kinase 2
P54753|Embryonic kinase 2EK2hEK2

Q8TF76|Germ cell-specific gene 2 protein
Q8TF76|Haploid germ cell-specific nuclear protein kinase
Q8TF76|H-haspin



P52799|EPH-related receptor tyrosine kinase ligand 5LERK-5
P52799|HTK ligandHTK-L















O15111|Transcription factor 16TCF-16
O15111|Nuclear factor NF-kappa-B inhibitor kinase alphaNFKBIKA
O15111|Conserved helix-loop-helix ubiquitous kinase
O15111|I-kappa-B kinase 1IKK1











Q13882|Breast tumor kinase
Q13882|Tyrosine-protein kinase BRK


Q13387|Islet-brain-2IB-2
Q13387|Mitogen-activated protein kinase 8-interacting protein 2
Q13387|JNK MAP kinase scaffold protein 2

P15173|Myogenic factor 4Myf-4
P15173|Class C basic helix-loop-helix protein 3bHLHc3




Q9NYJ8|TGF-beta-activated kinase 1-binding protein 2
Q9NYJ8|TAK1-binding protein 2TAB-2
Q9NYJ8|Mitogen-activated protein kinase kinase kinase 7-interacting protein 2


O43240|Protease serine-like 1
O43240|Normal epithelial cell-specific 1


Q99459|Pombe cdc5-related protein

Q9UK32|pp90RSK4
Q9UK32|Ribosomal S6 kinase 4RSK-4
Q9UK32|90 kDa ribosomal protein S6 kinase 6p90-RSK 6p90RSK6

P98172|EFL-3
P98172|ELK ligandELK-L
P98172|EPH-related receptor tyrosine kinase ligand 2LERK-2

P43686|26S proteasome AAA-ATPase subunit RPT3
P43686|MB67-interacting protein
P43686|MIP224
P43686|Proteasome 26S subunit ATPase 4
P43686|Tat-binding protein 7TBP-7



P47712|Phospholipase A2 group IVA








P20963|T-cell receptor T3 zeta chain
P61266|Syntaxin-1B2
P61266|Syntaxin-1B1











Q9HAR2-2|Calcium-independent alpha-latrotoxin receptor 3CIRL-3
Q9HAR2-2|Latrophilin-3
Q9HAR2-2|Lectomedin-3



O14908|Synectin
O14908|Tax interaction protein 2TIP-2
O14908|RGS-GAIP-interacting protein
O14908|RGS19-interacting protein 1
O14908|GAIP C-terminus-interacting protein
Q9NWT8|28S ribosomal protein S38, mitochondrialMRP-S38
Q9NWT8|Mitochondrial small ribosomal subunit protein mS38


Q9H4X1|Response gene to complement 32 proteinRGC-32
Q13112|M-phase phosphoprotein 7
Q13112|Chromatin assembly factor I p60 subunitCAF-I 60 kDa subunitCAF-I p60





P40337|Protein G7
P40337|pVHL



Q15052|COOL-2
Q15052|PAK-interacting exchange factor alpha
Q15052|Rac/Cdc42 guanine nucleotide exchange factor 6
Q15052|Alpha-Pix













A0A1W2PQ73|ETS repressor factor-like















O75051|Semaphorin receptor OCT





Q9Y6W5|Protein WAVE-2
Q9Y6W5|Verprolin homology domain-containing protein 2


Q99683|MAPK/ERK kinase kinase 5MEK kinase 5MEKK 5
Q99683|Apoptosis signal-regulating kinase 1ASK-1










Q9Y6Q9|Steroid receptor coactivator protein 3SRC-3
Q9Y6Q9|Receptor-associated coactivator 3RAC-3
Q9Y6Q9|Class E basic helix-loop-helix protein 42bHLHe42
Q9Y6Q9|CBP-interacting proteinpCIP
Q9Y6Q9|Amplified in breast cancer 1 proteinAIB-1
Q9Y6Q9|ACTR
Q9Y6Q9|Thyroid hormone receptor activator molecule 1TRAM-1
P08138|Gp80-LNGFR
P08138|Low affinity neurotrophin receptor p75NTR
P08138|Low-affinity nerve growth factor receptorNGF receptor
P08138|p75 ICD


Q9Y294|Anti-silencing function protein 1 homolog AhAsf1hAsf1a
Q9Y294|CCG1-interacting factor ACIAhCIA




Q07666|GAP-associated tyrosine phosphoprotein p62
Q07666|Src-associated in mitosis 68 kDa proteinSam68
Q07666|p21 Ras GTPase-activating protein-associated p62
Q07666|p68


Q15750|Mitogen-activated protein kinase kinase kinase 7-interacting protein 1
Q15750|TGF-beta-activated kinase 1-binding protein 1TAK1-binding protein 1
P43405|Spleen tyrosine kinase
P43405|p72-Syk


Q99956|Mitogen-activated protein kinase phosphatase 4MAP kinase phosphatase 4MKP-4


Q8TEJ3|Plenty of SH3s 2
Q8TEJ3|SH3 domain-containing RING finger protein 3
Q8TEJ3|SH3 multiple domains protein 4















P51170|Gamma-NaCH
P51170|Nonvoltage-gated sodium channel 1 subunit gamma
P51170|SCNEG
P51170|Epithelial Na(+) channel subunit gammaENaCGGamma-ENaC

Q9NRF9|Arsenic-transactivated proteinAsTP
Q9NRF9|Chromatin accessibility complex 17 kDa proteinHuCHRAC17CHRAC-17
Q9NRF9|DNA polymerase II subunit 3
Q9NRF9|DNA polymerase epsilon subunit p17




Q99626|CDX-3
Q99626|Caudal-type homeobox protein 2
Q14206|Regulator of calcineurin 2
Q14206|Thyroid hormone-responsive protein ZAKI-4
Q14206|Down syndrome candidate region 1-like 1
Q14206|Myocyte-enriched calcineurin-interacting protein 2MCIP2


Q92911|Sodium-iodide symporterNa(+)/I(-) symporter
Q92911|Solute carrier family 5 member 5

P07550|Beta-2 adrenoreceptorBeta-2 adrenoceptor





O75969|A-kinase anchor protein 110 kDaAKAP 110
O75969|Cancer/testis antigen 82CT82
O75969|Protein kinase A-anchoring protein 3PRKA3
O75969|Sperm oocyte-binding protein
O75969|Fibrous sheath protein of 95 kDaFSP95
O75969|Fibrousheathin I
O75969|Fibrousheathin-1


Q5VU65|Nucleoporin 210 kDa-like
Q5VU65|Nucleoporin Nup210-like



Q5JTC6|Wilms tumor gene on the X chromosome protein
Q5JTC6|Protein FAM123B



P46531|Translocation-associated notch protein TAN-1









P35240|Moesin-ezrin-radixin-like protein
P35240|Neurofibromin-2
P35240|Schwannomerlin
P35240|Schwannomin


Q99719|Cell division control-related protein 1CDCrel-1
Q99719|Peanut-like protein 1



O95409|Zinc finger protein of the cerebellum 2

P41279|Tumor progression locus 2TPL-2
P41279|Serine/threonine-protein kinase cot
P41279|Proto-oncogene c-Cot
P41279|Cancer Osaka thyroid oncogene






Q02952|A-kinase anchor protein 250 kDaAKAP 250
Q02952|Gravin
Q02952|Myasthenia gravis autoantigen




Q9Y698|Neuronal voltage-gated calcium channel gamma-2 subunit
Q9Y698|Transmembrane AMPAR regulatory protein gamma-2TARP gamma-2


O75886|Hrs-binding protein
P23511|CAAT box DNA-binding protein subunit A
P23511|Nuclear transcription factor Y subunit ANF-YA






O95147|MKP-1-like protein tyrosine phosphataseMKP-L
O95147|Mitogen-activated protein kinase phosphatase 6MAP kinase phosphatase 6MKP-6

Q13424|59 kDa dystrophin-associated protein A1 acidic component 1
Q13424|Pro-TGF-alpha cytoplasmic domain-interacting protein 1TACIP1
Q13424|Syntrophin-1




P35968|Fetal liver kinase 1FLK-1
P35968|Kinase insert domain receptorKDR
P35968|Protein-tyrosine kinase receptor flk-1
P22314|Protein A1S9
P22314|Ubiquitin-activating enzyme E1




















P41231|ATP receptor
P41231|P2U purinoceptor 1P2U1
P41231|P2U receptor 1
P41231|Purinergic receptor





Q9Y3B9|Ribosomal RNA-processing protein 15

Q8NHW3|Pancreatic beta-cell-specific transcriptional activator
Q8NHW3|RIPE3b1 factor
Q8NHW3|V-maf musculoaponeurotic fibrosarcoma oncogene homolog A


















P02533|Keratin-14K14
P02533|Cytokeratin-14CK-14



P35900|Protein IT
P35900|Keratin-20K20
P35900|Cytokeratin-20CK-20




Q9UEY8|Adducin-like protein 70

Q9NWQ8|Csk-binding protein
Q9NWQ8|Transmembrane phosphoprotein Cbp
Q9NWQ8|Transmembrane adapter protein PAG




















Q13887|Intestinal-enriched krueppel-like factor
Q13887|Transcription factor BTEB2
Q13887|Colon krueppel-like factor
Q13887|GC-box-binding protein 2
Q13887|Basic transcription element-binding protein 2BTE-binding protein 2
P23458|Janus kinase 1JAK-1








P08559|PDHE1-A type I








Q92837|Frequently rearranged in advanced T-cell lymphomas 1FRAT-1
P48634|Proline-rich and coiled-coil-containing protein 2A
P48634|Protein G2
P48634|HLA-B-associated transcript 2
P48634|Large proline-rich protein BAT2
Q13885|Tubulin beta class IIa






P51681|CHEMR13
P51681|HIV-1 fusion coreceptor









P29966|Protein kinase C substrate, 80 kDa protein, light chain80K-L proteinPKCSL

Q712K3|E2 ubiquitin-conjugating enzyme R2
Q712K3|Ubiquitin carrier protein R2
Q712K3|Ubiquitin-conjugating enzyme E2-CDC34B
Q712K3|Ubiquitin-protein ligase R2









P35354|Cyclooxygenase-2COX-2
P35354|PHS II
P35354|Prostaglandin H2 synthase 2PGH synthase 2PGHS-2
P35354|Prostaglandin-endoperoxide synthase 2
F5GXU9|Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain




Q15172|PP2A B subunit isoform R5-alpha
Q15172|PP2A B subunit isoform B'-alpha
Q15172|PP2A B subunit isoform B56-alpha
Q15172|PP2A B subunit isoform PR61-alphaPR61alpha
P25098|G-protein coupled receptor kinase 2

O60500|Renal glomerulus-specific cell adhesion receptor






Q06187|Bruton tyrosine kinase
Q06187|B-cell progenitor kinaseBPK
Q06187|Agammaglobulinemia tyrosine kinaseATK
Q9NZZ3|Vacuolar protein sorting-associated protein 60Vps60hVps60
Q9NZZ3|SNF7 domain-containing protein 2
Q9NZZ3|Chromatin-modifying protein 5
Q4L180|Protein down-regulated in ovarian cancer 1DOC-1
Q4L180|130 kDa GPBP-interacting protein
Q4L180|90 kDa GPBP-interacting protein








Q99801|Homeobox protein NK-3 homolog A

O00330|Lipoyl-containing pyruvate dehydrogenase complex component X
O00330|E3-binding proteinE3BP
O00330|Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex
O00330|proX

















Q8N5C8|Mitogen-activated protein kinase kinase kinase 7-interacting protein 3
Q8N5C8|TGF-beta-activated kinase 1-binding protein 3
Q8N5C8|NF-kappa-B-activating protein 1
Q8N5C8|TAK1-binding protein 3TAB-3


O14958|Calsequestrin, cardiac muscle isoform












Q9UL54|Thousand and one amino acid protein kinase 2
Q9UL54|Kinase from chicken homolog ChKFC-C
Q9UL54|Prostate-derived sterile 20-like kinase 1PSK-1PSK1Prostate-derived STE20-like kinase 1



Q01970|Phospholipase C-beta-3PLC-beta-3
Q01970|Phosphoinositide phospholipase C-beta-3



P13349|Class C basic helix-loop-helix protein 2bHLHc2
Q13415|Replication control protein 1
Q8TF01|PNN-interacting serine/arginine-rich protein
Q8TF01|SR-related protein
Q8TF01|SR-rich protein
Q8TF01|Serine/arginine-rich-splicing regulatory protein 130SRrp130
Q8TF01|Splicing factor, arginine/serine-rich 130
Q8TF01|Splicing factor, arginine/serine-rich 18
Q01130|Splicing component, 35 kDa
Q01130|Protein PR264
Q01130|Splicing factor SC35SC-35
Q01130|Splicing factor, arginine/serine-rich 2




P08238|Heat shock 84 kDaHSP 84HSP84
P18848|DNA-binding protein TAXREB67
P18848|Tax-responsive enhancer element-binding protein 67TaxREB67
P18848|Activating transcription factor 4
P18848|Cyclic AMP-responsive element-binding protein 2CREB-2cAMP-responsive element-binding protein 2




P16401|Histone H1b
P16401|Histone H1s-3
P16401|Histone H1a


P17509|Homeobox protein Hox-2.2
P17509|Homeobox protein Hox-2B
P17509|Homeobox protein Hu-2


Q13243|Pre-mRNA-splicing factor SRP40
Q13243|Delayed-early protein HRS
Q13243|Splicing factor, arginine/serine-rich 5
Q13247|Pre-mRNA-splicing factor SRP55
Q13247|Splicing factor, arginine/serine-rich 6








Q9UIQ6|Insulin-regulated membrane aminopeptidase
Q9UIQ6|Insulin-responsive aminopeptidaseIRAP
Q9UIQ6|OxytocinaseOTase
Q9UIQ6|Placental leucine aminopeptidaseP-LAP





P26038|Membrane-organizing extension spike protein



A0A1D5RMN4|Follitropin receptor
Q8NEF9|p49/STRAP
Q8NEF9|SRF-dependent transcription regulation-associated protein


Q14432|Cyclic GMP-inhibited phosphodiesterase ACGI-PDE A













Q14573|Type 3 inositol 1,4,5-trisphosphate receptorType 3 InsP3 receptor
Q14573|IP3 receptor isoform 3IP3R 3InsP3R3



Q9UKL4|Connexin-36Cx36
Q9UKL4|Gap junction alpha-9 protein

Q13077|Epstein-Barr virus-induced protein 6
Q9UBC3|DNA methyltransferase HsaIIIBDNA MTase HsaIIIBM.HsaIIIB





P35226|Polycomb group RING finger protein 4
P35226|RING finger protein 51











Q02108|Guanylate cyclase soluble subunit alpha-3GCS-alpha-3
Q02108|Soluble guanylate cyclase large subunit


O60341|BRAF35-HDAC complex protein BHC110
O60341|Flavin-containing amine oxidase domain-containing protein 2

O00186|Platelet Sec1 proteinPSP
O00186|Protein unc-18 homolog 3Unc18-3
O00186|Protein unc-18 homolog CUnc-18C

P98177|Fork head domain transcription factor AFX1















Q9HBE5|Novel interleukin receptor














Q8N0X7|Spastic paraplegia 20 protein
Q8N0X7|Trans-activated by hepatitis C virus core protein 1



Q7L9L4|Mob1B
Q7L9L4|Mps one binder kinase activator-like 1A
Q7L9L4|Mob1 homolog 1AMob1A







Q13753|Nicein subunit gamma
Q13753|Large adhesive scatter factor 140 kDa subunit
Q13753|Laminin-5 subunit gamma
Q13753|Laminin B2t chain
Q13753|Ladsin 140 kDa subunit
Q13753|Kalinin/nicein/epiligrin 100 kDa subunit
Q13753|Kalinin subunit gamma
Q13753|Epiligrin subunit gamma
Q13753|Cell-scattering factor 140 kDa subunitCSF 140 kDa subunit


P20393|V-erbA-related protein 1EAR-1
P20393|Rev-erbA-alpha
Q9BYV8|Testis-specific gene A14 protein
Q8WXD9|CASK-interacting protein 1
O95863|Protein snail homolog 1Protein sna





Q9NPB6|Tax interaction protein 40TIP-40
Q9NPB6|PAR6C




Q99500|Endothelial differentiation G-protein coupled receptor 3
Q99500|Sphingosine 1-phosphate receptor Edg-3S1P receptor Edg-3


Q13972|Ras-specific nucleotide exchange factor CDC25
Q13972|Guanine nucleotide-releasing proteinGNRP


Q13546|Cell death protein RIP
Q13546|Receptor-interacting protein 1RIP-1
Q8NC51|PAI1 RNA-binding protein 1PAI-RBP1
Q8NC51|SERPINE1 mRNA-binding protein 1
O94776|p53 target protein in deacetylase complex
O94776|Metastasis-associated 1-like 1MTA1-L1 protein
O60942|HCE
O60942|HCAP1
Q9Y4K3|E3 ubiquitin-protein ligase TRAF6
Q9Y4K3|Interleukin-1 signal transducer
Q9Y4K3|RING finger protein 85
Q9Y4K3|RING-type E3 ubiquitin transferase TRAF6


Q5T6F0|Centrosome-related protein TCC52
Q5T6F0|Testis cancer centrosome-related protein
Q5T6F0|WD repeat-containing protein 40A
A6NGE4|WD repeat-containing protein 42B




A0PJW8|Early epithelial differentiation-associated protein
Q8TF42|Tyrosine-protein phosphatase STS1/TULA2
Q8TF42|Cbl-interacting protein p70
Q8TF42|Suppressor of T-cell receptor signaling 1STS-1
Q8TF42|T-cell ubiquitin ligand 2TULA-2


A0A0B4J2D5|Keio novel protein-IKNP-I
A0A0B4J2D5|Protein GT335
A0A0B4J2D5|Protein HES1

Q9Y3E7|Chromatin-modifying protein 3
Q9Y3E7|Neuroendocrine differentiation factor
Q9Y3E7|Vacuolar protein sorting-associated protein 24hVps24























Q9UK05|Bone morphogenetic protein 9BMP-9
Q7Z434|CARD adapter inducing interferon betaCardif
Q7Z434|Interferon beta promoter stimulator protein 1IPS-1
Q7Z434|Putative NF-kappa-B-activating protein 031N
Q7Z434|Virus-induced-signaling adapterVISA



O15399|N-methyl D-aspartate receptor subtype 2DNMDAR2DNR2D
O15399|Glutamate [NMDA] receptor subunit epsilon-4
O15399|EB11















P16410|Cytotoxic T-lymphocyte-associated antigen 4CTLA-4







P01574|Fibroblast interferon

















P25101|Endothelin receptor type AETA-RhET-ARET-A


P01042|Williams-Fitzgerald-Flaujeac factor
P01042|High molecular weight kininogenHMWK
P01042|Alpha-2-thiol proteinase inhibitor
P01042|Fitzgerald factor
P49006|Macrophage myristoylated alanine-rich C kinase substrateMac-MARCKSMacMARCKS
P49006|MARCKS-like protein 1














P10747|TP44






P13984|Transcription initiation factor IIF subunit betaTFIIF-beta
P13984|Transcription initiation factor RAP30
P13984|General transcription factor IIF 30 kDa subunit
P13984|ATP-dependent helicase GTF2F2

Q8WVC0|Replicative senescence down-regulated leo1-like protein

Q6NZI2|Cavin-1
Q6NZI2|Polymerase I and transcript release factor

Q5VWG9|TBP-associated factor 3
Q5VWG9|Transcription initiation factor TFIID 140 kDa subunitTAF(II)140TAF140TAFII-140TAFII140
Q5VWG9|140 kDa TATA box-binding protein-associated factor
Q9H3P2|Wolf-Hirschhorn syndrome candidate 2 protein

















Q53EL6|Protein 197/15a
Q53EL6|Neoplastic transformation inhibitor protein
Q53EL6|Nuclear antigen H731-like




Q13368|Protein MPP3
Q13368|Discs large homolog 3




Q02641|Calcium channel voltage-dependent subunit beta 1

















P18146|AT225
P18146|Nerve growth factor-induced protein ANGFI-A
P18146|Transcription factor ETR103
P18146|Transcription factor Zif268
P18146|Zinc finger protein 225
P18146|Zinc finger protein Krox-24


P24844|20 kDa myosin light chainLC20
P24844|Myosin regulatory light chain MRLC1
P24844|Myosin regulatory light chain 9
P24844|Myosin regulatory light chain 2, smooth muscle isoform
P24844|Myosin RLC
P24844|MLC-2C








A8MUP2|Methyltransferase-like protein 12, mitochondrial



Q08495|Erythrocyte membrane protein band 4.9
Q08495|Dematin actin-binding protein
Q15306|Multiple myeloma oncogene 1
Q15306|Lymphocyte-specific interferon regulatory factorLSIRF
