uniprot|subcell_aditional_text|subcell_aditional_text_refs
P32298|Both at the cell surface and dispersed in the cytoplasm under basal conditions. Receptor stimulation results in the internalization of GRK4 to the perinuclear area, where colocalization with DRD3 is observed strongly at 5 and 15 minutes. DRD3 and GRK4 colocalize in lipid rafts of renal proximal tubule cells.|
P32298|Both at the cell surface and dispersed in the cytoplasm under basal conditions. Receptor stimulation results in the internalization of GRK4 to the perinuclear area, where colocalization with DRD3 is observed strongly at 5 and 15 minutes. DRD3 and GRK4 colocalize in lipid rafts of renal proximal tubule cells.|
P43250||
P43250||
P43250||
O95835|Localizes to the centrosomes throughout interphase but migrates to the mitotic apparatus, including spindle pole bodies, mitotic spindle, and midbody, during mitosis.|
O95835|Localizes to the centrosomes throughout interphase but migrates to the mitotic apparatus, including spindle pole bodies, mitotic spindle, and midbody, during mitosis.|
Q6P0Q8|Recruited to the sub-membranous area on interaction with CDHR2.|
Q6P0Q8|Recruited to the sub-membranous area on interaction with CDHR2.|
O15021||
O15021||
O15021||
O15021||
O15021||
Q96GX5|During interphase is mainly nuclear, upon nuclear envelope breakdown localizes at the cytoplasm and during mitosis at the centrosomes. Upon mitotic exit moves to the cleavage furrow.|18
Q96GX5|During interphase is mainly nuclear, upon nuclear envelope breakdown localizes at the cytoplasm and during mitosis at the centrosomes. Upon mitotic exit moves to the cleavage furrow.|18
Q96GX5|During interphase is mainly nuclear, upon nuclear envelope breakdown localizes at the cytoplasm and during mitosis at the centrosomes. Upon mitotic exit moves to the cleavage furrow.|18
O15530|Tyrosine phosphorylation seems to occur only at the cell membrane. Translocates to the cell membrane following insulin stimulation by a mechanism that involves binding to GRB14 and INSR. SRC and HSP90 promote its localization to the cell membrane. Its nuclear localization is dependent on its association with PTPN6 and its phosphorylation at Ser-396. Restricted to the nucleus in neuronal cells while in non-neuronal cells it is found in the cytoplasm. The Ser-241 phosphorylated form is distributed along the perinuclear region in neuronal cells while in non-neuronal cells it is found in both the nucleus and the cytoplasm. IGF1 transiently increases phosphorylation at Ser-241 of neuronal PDPK1, resulting in its translocation to other cellular compartments. The tyrosine-phosphorylated form colocalizes with PTK2B in focal adhesions after angiotensin II stimulation.|
O15530|Tyrosine phosphorylation seems to occur only at the cell membrane. Translocates to the cell membrane following insulin stimulation by a mechanism that involves binding to GRB14 and INSR. SRC and HSP90 promote its localization to the cell membrane. Its nuclear localization is dependent on its association with PTPN6 and its phosphorylation at Ser-396. Restricted to the nucleus in neuronal cells while in non-neuronal cells it is found in the cytoplasm. The Ser-241 phosphorylated form is distributed along the perinuclear region in neuronal cells while in non-neuronal cells it is found in both the nucleus and the cytoplasm. IGF1 transiently increases phosphorylation at Ser-241 of neuronal PDPK1, resulting in its translocation to other cellular compartments. The tyrosine-phosphorylated form colocalizes with PTK2B in focal adhesions after angiotensin II stimulation.|
O15530|Tyrosine phosphorylation seems to occur only at the cell membrane. Translocates to the cell membrane following insulin stimulation by a mechanism that involves binding to GRB14 and INSR. SRC and HSP90 promote its localization to the cell membrane. Its nuclear localization is dependent on its association with PTPN6 and its phosphorylation at Ser-396. Restricted to the nucleus in neuronal cells while in non-neuronal cells it is found in the cytoplasm. The Ser-241 phosphorylated form is distributed along the perinuclear region in neuronal cells while in non-neuronal cells it is found in both the nucleus and the cytoplasm. IGF1 transiently increases phosphorylation at Ser-241 of neuronal PDPK1, resulting in its translocation to other cellular compartments. The tyrosine-phosphorylated form colocalizes with PTK2B in focal adhesions after angiotensin II stimulation.|
O15530|Tyrosine phosphorylation seems to occur only at the cell membrane. Translocates to the cell membrane following insulin stimulation by a mechanism that involves binding to GRB14 and INSR. SRC and HSP90 promote its localization to the cell membrane. Its nuclear localization is dependent on its association with PTPN6 and its phosphorylation at Ser-396. Restricted to the nucleus in neuronal cells while in non-neuronal cells it is found in the cytoplasm. The Ser-241 phosphorylated form is distributed along the perinuclear region in neuronal cells while in non-neuronal cells it is found in both the nucleus and the cytoplasm. IGF1 transiently increases phosphorylation at Ser-241 of neuronal PDPK1, resulting in its translocation to other cellular compartments. The tyrosine-phosphorylated form colocalizes with PTK2B in focal adhesions after angiotensin II stimulation.|
O15530|Tyrosine phosphorylation seems to occur only at the cell membrane. Translocates to the cell membrane following insulin stimulation by a mechanism that involves binding to GRB14 and INSR. SRC and HSP90 promote its localization to the cell membrane. Its nuclear localization is dependent on its association with PTPN6 and its phosphorylation at Ser-396. Restricted to the nucleus in neuronal cells while in non-neuronal cells it is found in the cytoplasm. The Ser-241 phosphorylated form is distributed along the perinuclear region in neuronal cells while in non-neuronal cells it is found in both the nucleus and the cytoplasm. IGF1 transiently increases phosphorylation at Ser-241 of neuronal PDPK1, resulting in its translocation to other cellular compartments. The tyrosine-phosphorylated form colocalizes with PTK2B in focal adhesions after angiotensin II stimulation.|
Q16512|Associates with chromatin in a ligand-dependent manner. Localization to endosomes is mediated via its interaction with RHOB. Association to the cell membrane is dependent on Ser-377 phosphorylation. Accumulates during telophase at the cleavage furrow and finally concentrates around the midbody in cytokinesis.|22 35
Q16512|Associates with chromatin in a ligand-dependent manner. Localization to endosomes is mediated via its interaction with RHOB. Association to the cell membrane is dependent on Ser-377 phosphorylation. Accumulates during telophase at the cleavage furrow and finally concentrates around the midbody in cytokinesis.|22 35
Q16512|Associates with chromatin in a ligand-dependent manner. Localization to endosomes is mediated via its interaction with RHOB. Association to the cell membrane is dependent on Ser-377 phosphorylation. Accumulates during telophase at the cleavage furrow and finally concentrates around the midbody in cytokinesis.|22 35
Q16513|Colocalizes with PTPN13 in lamellipodia-like structures, regions of large actin turnover. Accumulates during telophase at the cleavage furrow and concentrates finally around the midbody in cytokinesis. Recruited to nascent cell-cell contacts at the apical surface of cells. In the course of viral infection, colocalizes with HCV NS5B at perinuclear region in the cytoplasm.|20 25
Q16513|Colocalizes with PTPN13 in lamellipodia-like structures, regions of large actin turnover. Accumulates during telophase at the cleavage furrow and concentrates finally around the midbody in cytokinesis. Recruited to nascent cell-cell contacts at the apical surface of cells. In the course of viral infection, colocalizes with HCV NS5B at perinuclear region in the cytoplasm.|20 25
Q16513|Colocalizes with PTPN13 in lamellipodia-like structures, regions of large actin turnover. Accumulates during telophase at the cleavage furrow and concentrates finally around the midbody in cytokinesis. Recruited to nascent cell-cell contacts at the apical surface of cells. In the course of viral infection, colocalizes with HCV NS5B at perinuclear region in the cytoplasm.|20 25
Q16513|Colocalizes with PTPN13 in lamellipodia-like structures, regions of large actin turnover. Accumulates during telophase at the cleavage furrow and concentrates finally around the midbody in cytokinesis. Recruited to nascent cell-cell contacts at the apical surface of cells. In the course of viral infection, colocalizes with HCV NS5B at perinuclear region in the cytoplasm.|20 25
Q16513|Colocalizes with PTPN13 in lamellipodia-like structures, regions of large actin turnover. Accumulates during telophase at the cleavage furrow and concentrates finally around the midbody in cytokinesis. Recruited to nascent cell-cell contacts at the apical surface of cells. In the course of viral infection, colocalizes with HCV NS5B at perinuclear region in the cytoplasm.|20 25
P17612|Translocates into the nucleus (monomeric catalytic subunit). The inactive holoenzyme is found in the cytoplasm. Distributed throughout the cytoplasm in meiotically incompetent oocytes. Associated to mitochondrion as meiotic competence is acquired. Aggregates around the germinal vesicles (GV) at the immature GV stage oocytes (By similarity). Colocalizes with HSF1 in nuclear stress bodies (nSBs) upon heat shock (PubMed:21085490).|9 32
P17612|Expressed in the midpiece region of the sperm flagellum (PubMed:10906071). Colocalizes with MROH2B and TCP11 on the acrosome and tail regions in round spermatids and spermatozoa regardless of the capacitation status of the sperm (By similarity).|10 13
P17612|Translocates into the nucleus (monomeric catalytic subunit). The inactive holoenzyme is found in the cytoplasm. Distributed throughout the cytoplasm in meiotically incompetent oocytes. Associated to mitochondrion as meiotic competence is acquired. Aggregates around the germinal vesicles (GV) at the immature GV stage oocytes (By similarity). Colocalizes with HSF1 in nuclear stress bodies (nSBs) upon heat shock (PubMed:21085490).|9 32
P17612|Expressed in the midpiece region of the sperm flagellum (PubMed:10906071). Colocalizes with MROH2B and TCP11 on the acrosome and tail regions in round spermatids and spermatozoa regardless of the capacitation status of the sperm (By similarity).|10 13
P22694|Translocates into the nucleus (monomeric catalytic subunit). The inactive holoenzyme is found in the cytoplasm.|1
P22694|Translocates into the nucleus (monomeric catalytic subunit). The inactive holoenzyme is found in the cytoplasm.|1
P22694|Translocates into the nucleus (monomeric catalytic subunit). The inactive holoenzyme is found in the cytoplasm.|1
P22694|Translocates into the nucleus (monomeric catalytic subunit). The inactive holoenzyme is found in the cytoplasm.|1
P22694|Translocates into the nucleus (monomeric catalytic subunit). The inactive holoenzyme is found in the cytoplasm.|1
P22694|Translocates into the nucleus (monomeric catalytic subunit). The inactive holoenzyme is found in the cytoplasm.|1
P22694|Translocates into the nucleus (monomeric catalytic subunit). The inactive holoenzyme is found in the cytoplasm.|1
P22694|Translocates into the nucleus (monomeric catalytic subunit). The inactive holoenzyme is found in the cytoplasm.|1
P22694|Translocates into the nucleus (monomeric catalytic subunit). The inactive holoenzyme is found in the cytoplasm.|1
P22694|Translocates into the nucleus (monomeric catalytic subunit). The inactive holoenzyme is found in the cytoplasm.|1
P05771||
P05771||
Q05655||
Q05655||
P05129|Translocates to synaptic membranes on stimulation.|4
P05129|Translocates to synaptic membranes on stimulation.|4
P24723||
P24723||
Q04759|In resting T-cells, mostly localized in cytoplasm. In response to TCR stimulation, associates with lipid rafts and then localizes in the immunological synapse.|
Q04759|In resting T-cells, mostly localized in cytoplasm. In response to TCR stimulation, associates with lipid rafts and then localizes in the immunological synapse.|
Q04759|In resting T-cells, mostly localized in cytoplasm. In response to TCR stimulation, associates with lipid rafts and then localizes in the immunological synapse.|
Q05513|In the retina, localizes in the terminals of the rod bipolar cells (By similarity). Associates with endosomes (PubMed:9566925). Presence of KRIT1, CDH5 and RAP1B is required for its localization to the cell junction (PubMed:7597083). Colocalizes with VAMP2 and WDFY2 in intracellular vesicles (PubMed:17313651). Transiently translocates to the membrane of CA1 hippocampal cells in response to the induction of long term potentiation (By similarity).|4 24 30 32
Q05513||
Q05513|In the retina, localizes in the terminals of the rod bipolar cells (By similarity). Associates with endosomes (PubMed:9566925). Presence of KRIT1, CDH5 and RAP1B is required for its localization to the cell junction (PubMed:7597083). Colocalizes with VAMP2 and WDFY2 in intracellular vesicles (PubMed:17313651). Transiently translocates to the membrane of CA1 hippocampal cells in response to the induction of long term potentiation (By similarity).|4 24 30 32
Q05513||
Q05513|In the retina, localizes in the terminals of the rod bipolar cells (By similarity). Associates with endosomes (PubMed:9566925). Presence of KRIT1, CDH5 and RAP1B is required for its localization to the cell junction (PubMed:7597083). Colocalizes with VAMP2 and WDFY2 in intracellular vesicles (PubMed:17313651). Transiently translocates to the membrane of CA1 hippocampal cells in response to the induction of long term potentiation (By similarity).|4 24 30 32
Q05513||
Q13976|Colocalized with TRPC7 in the plasma membrane.|13
Q13976|Colocalized with TRPC7 in the plasma membrane.|13
Q13976|Colocalized with TRPC7 in the plasma membrane.|13
Q13237||
Q13237||
Q15418||
Q15418||
Q15418||
Q15418||
Q15349||
Q15349||
Q15349||
O75676||
O75676||
O75582|Predominantly nuclear. Exported into cytoplasm in response to glucocorticoid.|
O75582|Predominantly nuclear. Exported into cytoplasm in response to glucocorticoid.|
O75582|Predominantly nuclear. Exported into cytoplasm in response to glucocorticoid.|
Q9UK32|Predominantly cytosolic.|
Q9UK32|Predominantly cytosolic.|
P23443|Colocalizes with URI1 at mitochondrion.|
P23443||
P23443||
P23443|Colocalizes with URI1 at mitochondrion.|
P23443||
P23443||
P23443|Colocalizes with URI1 at mitochondrion.|
P23443||
P23443||
P23443|Colocalizes with URI1 at mitochondrion.|
P23443||
P23443||
P23443|Colocalizes with URI1 at mitochondrion.|
P23443||
P23443||
Q9UBS0||
Q9UBS0||
O00141|The subcellular localization is controlled by the cell cycle, as well as by exposure to specific hormones and environmental stress stimuli. In proliferating cells, it shuttles between the nucleus and cytoplasm in synchrony with the cell cycle, and in serum/growth factor-stimulated cells it resides in the nucleus. In contrast, after exposure to environmental stress or treatment with glucocorticoids, it is detected in the cytoplasm and with certain stress conditions is associated with the mitochondria. In osmoregulation through the epithelial sodium channel, it can be localized to the cytoplasmic surface of the cell membrane. Nuclear, upon phosphorylation.|
O00141||
O00141|The subcellular localization is controlled by the cell cycle, as well as by exposure to specific hormones and environmental stress stimuli. In proliferating cells, it shuttles between the nucleus and cytoplasm in synchrony with the cell cycle, and in serum/growth factor-stimulated cells it resides in the nucleus. In contrast, after exposure to environmental stress or treatment with glucocorticoids, it is detected in the cytoplasm and with certain stress conditions is associated with the mitochondria. In osmoregulation through the epithelial sodium channel, it can be localized to the cytoplasmic surface of the cell membrane. Nuclear, upon phosphorylation.|
O00141||
O00141|The subcellular localization is controlled by the cell cycle, as well as by exposure to specific hormones and environmental stress stimuli. In proliferating cells, it shuttles between the nucleus and cytoplasm in synchrony with the cell cycle, and in serum/growth factor-stimulated cells it resides in the nucleus. In contrast, after exposure to environmental stress or treatment with glucocorticoids, it is detected in the cytoplasm and with certain stress conditions is associated with the mitochondria. In osmoregulation through the epithelial sodium channel, it can be localized to the cytoplasmic surface of the cell membrane. Nuclear, upon phosphorylation.|
O00141||
O00141|The subcellular localization is controlled by the cell cycle, as well as by exposure to specific hormones and environmental stress stimuli. In proliferating cells, it shuttles between the nucleus and cytoplasm in synchrony with the cell cycle, and in serum/growth factor-stimulated cells it resides in the nucleus. In contrast, after exposure to environmental stress or treatment with glucocorticoids, it is detected in the cytoplasm and with certain stress conditions is associated with the mitochondria. In osmoregulation through the epithelial sodium channel, it can be localized to the cytoplasmic surface of the cell membrane. Nuclear, upon phosphorylation.|
O00141||
O00141|The subcellular localization is controlled by the cell cycle, as well as by exposure to specific hormones and environmental stress stimuli. In proliferating cells, it shuttles between the nucleus and cytoplasm in synchrony with the cell cycle, and in serum/growth factor-stimulated cells it resides in the nucleus. In contrast, after exposure to environmental stress or treatment with glucocorticoids, it is detected in the cytoplasm and with certain stress conditions is associated with the mitochondria. In osmoregulation through the epithelial sodium channel, it can be localized to the cytoplasmic surface of the cell membrane. Nuclear, upon phosphorylation.|
O00141||
Q9HBY8||
Q9HBY8||
Q9HBY8||
Q96BR1|Endosomal localization is a prerequisite for complete kinase activity. It is essential for its colocalization with the kinase responsible for phosphorylating Ser-486 thus allowing PDPK1 phosphorylation of Thr-320 resulting in complete activation of SGK3. Localized in vesicle-like structures and in the early endosome. Colocalizes with SLC9A3/NHE3 in the recycling endosomes.|
Q96BR1|Endosomal localization is a prerequisite for complete kinase activity. It is essential for its colocalization with the kinase responsible for phosphorylating Ser-486 thus allowing PDPK1 phosphorylation of Thr-320 resulting in complete activation of SGK3. Localized in vesicle-like structures and in the early endosome. Colocalizes with SLC9A3/NHE3 in the recycling endosomes.|
Q9Y2H1|Associated with the actin cytoskeleton. Co-localizes with STK24/MST3 in the membrane.|
Q9Y2H1|Associated with the actin cytoskeleton. Co-localizes with STK24/MST3 in the membrane.|
Q8TDC3|Nuclear in the absence of DNA damage. Translocated to the nucleus in response to UV- or MMS-induced DNA damage (By similarity).|2
Q8TDC3|Nuclear in the absence of DNA damage. Translocated to the nucleus in response to UV- or MMS-induced DNA damage (By similarity).|2
Q8TDC3|Nuclear in the absence of DNA damage. Translocated to the nucleus in response to UV- or MMS-induced DNA damage (By similarity).|2
Q8IWQ3|Detected at centrosomes during mitosis. Localizes to the endoplasmic reticulum in response to stress caused by tunicamycin.|
Q8IWQ3|Detected at centrosomes during mitosis. Localizes to the endoplasmic reticulum in response to stress caused by tunicamycin.|
Q8IWQ3|Detected at centrosomes during mitosis. Localizes to the endoplasmic reticulum in response to stress caused by tunicamycin.|
Q8IWQ3|Detected at centrosomes during mitosis. Localizes to the endoplasmic reticulum in response to stress caused by tunicamycin.|
Q8IWQ3|Detected at centrosomes during mitosis. Localizes to the endoplasmic reticulum in response to stress caused by tunicamycin.|
Q8IWQ3|Detected at centrosomes during mitosis. Localizes to the endoplasmic reticulum in response to stress caused by tunicamycin.|
Q8IU85|Predominantly cytoplasmic. Nuclear localization increases upon activation by KCl treatment in hippocampal neurons.|
Q8IU85|Predominantly cytoplasmic. Nuclear localization increases upon activation by KCl treatment in hippocampal neurons.|
Q96NX5||
Q96NX5||
Q9UQM7|Postsynaptic lipid rafts.|5
Q9UQM7|Postsynaptic lipid rafts.|5
Q13554|In slow-twitch muscle, evenly distributed between longitudinal SR and junctional SR.|
Q13554|In slow-twitch muscle, evenly distributed between longitudinal SR and junctional SR.|
Q13554|In slow-twitch muscle, evenly distributed between longitudinal SR and junctional SR.|
Q13554|In slow-twitch muscle, evenly distributed between longitudinal SR and junctional SR.|
Q13554|In slow-twitch muscle, evenly distributed between longitudinal SR and junctional SR.|
Q13554|In slow-twitch muscle, evenly distributed between longitudinal SR and junctional SR.|
Q13554|In slow-twitch muscle, evenly distributed between longitudinal SR and junctional SR.|
Q13554|In slow-twitch muscle, evenly distributed between longitudinal SR and junctional SR.|
Q13557||
Q13557||
Q13557||
Q13557||
Q13557||
Q13557||
Q13557||
Q13557||
Q13557||
Q13557||
Q13555||
Q13555||
Q13555||
Q13555||
Q13555||
Q13555||
Q13555||
Q13555||
Q13555||
Q13555||
Q13555||
Q8NCB2|Predominantly observed in association with the plasma membrane of soma and in neurites, both axons and dendrites. May be associated with vesicular structures (By similarity).|1
Q8NCB2|Predominantly observed in association with the plasma membrane of soma and in neurites, both axons and dendrites. May be associated with vesicular structures (By similarity).|1
Q8NCB2|Predominantly observed in association with the plasma membrane of soma and in neurites, both axons and dendrites. May be associated with vesicular structures (By similarity).|1
O14936||
O14936||
O14936||
O14936||
O14936||
O14936||
O14757|Nuclear export is mediated at least in part by XPO1/CRM1. Also localizes to the centrosome specifically during interphase, where it may protect centrosomal CDC2 kinase from inappropriate activation by cytoplasmic CDC25B.|
O14757|Nuclear export is mediated at least in part by XPO1/CRM1. Also localizes to the centrosome specifically during interphase, where it may protect centrosomal CDC2 kinase from inappropriate activation by cytoplasmic CDC25B.|
O14757|Nuclear export is mediated at least in part by XPO1/CRM1. Also localizes to the centrosome specifically during interphase, where it may protect centrosomal CDC2 kinase from inappropriate activation by cytoplasmic CDC25B.|
O96017|Isoform 10 is present throughout the cell.|
O96017||
O96017||
O96017||
O96017||
O96017|Recruited into PML bodies together with TP53.|
O96017|Isoform 10 is present throughout the cell.|
O96017||
O96017||
O96017||
O96017||
O96017|Recruited into PML bodies together with TP53.|
O96017|Isoform 10 is present throughout the cell.|
O96017||
O96017||
O96017||
O96017||
O96017|Recruited into PML bodies together with TP53.|
O96017|Isoform 10 is present throughout the cell.|
O96017||
O96017||
O96017||
O96017||
O96017|Recruited into PML bodies together with TP53.|
O96017|Isoform 10 is present throughout the cell.|
O96017||
O96017||
O96017||
O96017||
O96017|Recruited into PML bodies together with TP53.|
O96017|Isoform 10 is present throughout the cell.|
O96017||
O96017||
O96017||
O96017||
O96017|Recruited into PML bodies together with TP53.|
O96017|Isoform 10 is present throughout the cell.|
O96017||
O96017||
O96017||
O96017||
O96017|Recruited into PML bodies together with TP53.|
O96017|Isoform 10 is present throughout the cell.|
O96017||
O96017||
O96017||
O96017||
O96017|Recruited into PML bodies together with TP53.|
O96017|Isoform 10 is present throughout the cell.|
O96017||
O96017||
O96017||
O96017||
O96017|Recruited into PML bodies together with TP53.|
O96017|Isoform 10 is present throughout the cell.|
O96017||
O96017||
O96017||
O96017||
O96017|Recruited into PML bodies together with TP53.|
O96017|Isoform 10 is present throughout the cell.|
O96017||
O96017||
O96017||
O96017||
O96017|Recruited into PML bodies together with TP53.|
O96017|Isoform 10 is present throughout the cell.|
O96017||
O96017||
O96017||
O96017||
O96017|Recruited into PML bodies together with TP53.|
O96017|Isoform 10 is present throughout the cell.|
O96017||
O96017||
O96017||
O96017||
O96017|Recruited into PML bodies together with TP53.|
P53355|Colocalizes with MAP1B in the microtubules and cortical actin fibers.|
P53355||
P53355|Colocalizes with MAP1B in the microtubules and cortical actin fibers.|
P53355||
P53355|Colocalizes with MAP1B in the microtubules and cortical actin fibers.|
P53355||
P53355|Colocalizes with MAP1B in the microtubules and cortical actin fibers.|
P53355||
Q9UIK4||
Q9UIK4||
O43293|Predominantly localizes to the cytoplasm but can shuttle between the nucleus and cytoplasm; cytoplasmic localization is promoted by phosphorylation at Thr-299 and involves Rho/Rock signaling.|22 26
O43293||
O43293||
O43293|Predominantly localizes to the cytoplasm but can shuttle between the nucleus and cytoplasm; cytoplasmic localization is promoted by phosphorylation at Thr-299 and involves Rho/Rock signaling.|22 26
O43293||
O43293||
Q8N568|Colocalizes with microtubules.|2
Q8N568|Colocalizes with microtubules.|2
Q8N568|Colocalizes with microtubules.|2
O60229|Associated with the cytoskeleton.|
O60229|Associated with the cytoskeleton.|
O60229|Associated with the cytoskeleton.|
O60229|Associated with the cytoskeleton.|
O60229|Associated with the cytoskeleton.|
P49137|Phosphorylation and subsequent activation releases the autoinhibitory helix, resulting in the export from the nucleus into the cytoplasm.|
P49137|Phosphorylation and subsequent activation releases the autoinhibitory helix, resulting in the export from the nucleus into the cytoplasm.|
Q8IW41|Translocates to the cytoplasm following phosphorylation and activation. Interaction with ERK3/MAPK6 or ERK4/MAPK4 and phosphorylation at Thr-182, activates the protein kinase activity, followed by translocation to the cytoplasm. Phosphorylation by PKA/PRKACA at Ser-115 also induces nuclear export.|
Q8IW41|Translocates to the cytoplasm following phosphorylation and activation. Interaction with ERK3/MAPK6 or ERK4/MAPK4 and phosphorylation at Thr-182, activates the protein kinase activity, followed by translocation to the cytoplasm. Phosphorylation by PKA/PRKACA at Ser-115 also induces nuclear export.|
Q9P0L2|Appears to localize to an intracellular network.|5
Q9P0L2|Appears to localize to an intracellular network.|5
Q9P0L2|Appears to localize to an intracellular network.|5
Q7KZI7|Phosphorylation at Thr-596 by PRKCZ/aPKC and subsequent interaction with 14-3-3 protein YWHAZ promotes relocation from the cell membrane to the cytoplasm.|
Q7KZI7|Phosphorylation at Thr-596 by PRKCZ/aPKC and subsequent interaction with 14-3-3 protein YWHAZ promotes relocation from the cell membrane to the cytoplasm.|
Q7KZI7|Phosphorylation at Thr-596 by PRKCZ/aPKC and subsequent interaction with 14-3-3 protein YWHAZ promotes relocation from the cell membrane to the cytoplasm.|
Q7KZI7|Phosphorylation at Thr-596 by PRKCZ/aPKC and subsequent interaction with 14-3-3 protein YWHAZ promotes relocation from the cell membrane to the cytoplasm.|
Q7KZI7|Phosphorylation at Thr-596 by PRKCZ/aPKC and subsequent interaction with 14-3-3 protein YWHAZ promotes relocation from the cell membrane to the cytoplasm.|
Q7KZI7|Phosphorylation at Thr-596 by PRKCZ/aPKC and subsequent interaction with 14-3-3 protein YWHAZ promotes relocation from the cell membrane to the cytoplasm.|
Q7KZI7|Phosphorylation at Thr-596 by PRKCZ/aPKC and subsequent interaction with 14-3-3 protein YWHAZ promotes relocation from the cell membrane to the cytoplasm.|
Q7KZI7|Phosphorylation at Thr-596 by PRKCZ/aPKC and subsequent interaction with 14-3-3 protein YWHAZ promotes relocation from the cell membrane to the cytoplasm.|
Q7KZI7|Phosphorylation at Thr-596 by PRKCZ/aPKC and subsequent interaction with 14-3-3 protein YWHAZ promotes relocation from the cell membrane to the cytoplasm.|
