uniprot_id|name|short
Q09013-1|DM-kinaseDMK|DMK
Q09013-1|DM1 protein kinase|
Q09013-1|DMPK|
Q09013-1|Myotonic dystrophy protein kinase|
P32298-1|G protein-coupled receptor kinase GRK4|
P32298-1|ITI1|
P32298-2|G protein-coupled receptor kinase GRK4|
P32298-2|ITI1|
P32298-3|G protein-coupled receptor kinase GRK4|
P32298-3|ITI1|
P32298-4|G protein-coupled receptor kinase GRK4|
P32298-4|ITI1|
P43250-1|G protein-coupled receptor kinase GRK6|
P43250-2|G protein-coupled receptor kinase GRK6|
P43250-3|G protein-coupled receptor kinase GRK6|
O95835-1|Large tumor suppressor homolog 1|
O95835-1|WARTS protein kinaseh-warts|h-warts
O95835-2|Large tumor suppressor homolog 1|
O95835-2|WARTS protein kinaseh-warts|h-warts






Q96GX5-1|Microtubule-associated serine/threonine-protein kinase-likeMAST-L|MAST-L
Q96GX5-2|Microtubule-associated serine/threonine-protein kinase-likeMAST-L|MAST-L
Q96GX5-3|Microtubule-associated serine/threonine-protein kinase-likeMAST-L|MAST-L



Q16512-1|Protease-activated kinase 1PAK-1|PAK-1
Q16512-1|Protein kinase C-like 1|
Q16512-1|Protein kinase C-like PKN|
Q16512-1|Protein kinase PKN-alpha|
Q16512-1|Protein-kinase C-related kinase 1|
Q16512-1|Serine-threonine protein kinase N|
Q16512-2|Protease-activated kinase 1PAK-1|PAK-1
Q16512-2|Protein kinase C-like 1|
Q16512-2|Protein kinase C-like PKN|
Q16512-2|Protein kinase PKN-alpha|
Q16512-2|Protein-kinase C-related kinase 1|
Q16512-2|Serine-threonine protein kinase N|
Q16513-1|PKN gamma|
Q16513-1|Protein kinase C-like 2|
Q16513-1|Protein-kinase C-related kinase 2|
Q16513-3|PKN gamma|
Q16513-3|Protein kinase C-like 2|
Q16513-3|Protein-kinase C-related kinase 2|












Q05655-1|Tyrosine-protein kinase PRKCD|
Q05655-1|nPKC-delta|

P24723-1|PKC-L|
P24723-1|nPKC-eta|
P24723-2|PKC-L|
P24723-2|nPKC-eta|
Q04759-1|nPKC-theta|
Q04759-2|nPKC-theta|
Q04759-3|nPKC-theta|
Q05513-1|nPKC-zeta|
Q05513-2|nPKC-zeta|
Q05513-3|nPKC-zeta|
Q13976-1|cGMP-dependent protein kinase IcGKI|cGKI
Q13976-2|cGMP-dependent protein kinase IcGKI|cGKI
Q13237-1|cGMP-dependent protein kinase IIcGKII|cGKII
Q13237-2|cGMP-dependent protein kinase IIcGKII|cGKII
Q15418-1|90 kDa ribosomal protein S6 kinase 1p90S6Kp90-RSK 1p90RSK1|p90S6K
Q15418-1|MAP kinase-activated protein kinase 1aMAPK-activated protein kinase 1aMAPKAPK-1aMAPKAP kinase 1a|MAPK-activated protein kinase 1a
Q15418-1|Ribosomal S6 kinase 1RSK-1|RSK-1
Q15418-2|90 kDa ribosomal protein S6 kinase 1p90RSK1p90S6Kp90-RSK 1|p90RSK1
Q15418-2|MAP kinase-activated protein kinase 1aMAPKAP kinase 1aMAPKAPK-1aMAPK-activated protein kinase 1a|MAPKAP kinase 1a
Q15418-2|Ribosomal S6 kinase 1RSK-1|RSK-1
Q15418-3|90 kDa ribosomal protein S6 kinase 1p90RSK1p90S6Kp90-RSK 1|p90RSK1
Q15418-3|MAP kinase-activated protein kinase 1aMAPK-activated protein kinase 1aMAPKAPK-1aMAPKAP kinase 1a|MAPK-activated protein kinase 1a
Q15418-3|Ribosomal S6 kinase 1RSK-1|RSK-1
Q15418-4|90 kDa ribosomal protein S6 kinase 1p90-RSK 1p90S6Kp90RSK1|p90-RSK 1
Q15418-4|MAP kinase-activated protein kinase 1aMAPK-activated protein kinase 1aMAPKAPK-1aMAPKAP kinase 1a|MAPK-activated protein kinase 1a
Q15418-4|Ribosomal S6 kinase 1RSK-1|RSK-1
Q15349-1|90 kDa ribosomal protein S6 kinase 2p90-RSK 2p90RSK2|p90-RSK 2
Q15349-1|MAP kinase-activated protein kinase 1cMAPK-activated protein kinase 1cMAPKAPK-1cMAPKAP kinase 1c|MAPK-activated protein kinase 1c
Q15349-1|Ribosomal S6 kinase 3RSK-3|RSK-3
Q15349-1|pp90RSK3|
Q15349-3|90 kDa ribosomal protein S6 kinase 2p90-RSK 2p90RSK2|p90-RSK 2
Q15349-3|MAP kinase-activated protein kinase 1cMAPKAP kinase 1cMAPK-activated protein kinase 1cMAPKAPK-1c|MAPKAP kinase 1c
Q15349-3|Ribosomal S6 kinase 3RSK-3|RSK-3
Q15349-3|pp90RSK3|
O75676-1|90 kDa ribosomal protein S6 kinase 4|
O75676-1|Nuclear mitogen- and stress-activated protein kinase 2|
O75676-1|Ribosomal protein kinase BRSKB|RSKB
O75582-1|90 kDa ribosomal protein S6 kinase 5|
O75582-1|Nuclear mitogen- and stress-activated protein kinase 1|
O75582-1|RSK-like protein kinaseRSKL|RSKL
O75582-2|90 kDa ribosomal protein S6 kinase 5|
O75582-2|Nuclear mitogen- and stress-activated protein kinase 1|
O75582-2|RSK-like protein kinaseRSKL|RSKL
O75582-3|90 kDa ribosomal protein S6 kinase 5|
O75582-3|Nuclear mitogen- and stress-activated protein kinase 1|
O75582-3|RSK-like protein kinaseRSKL|RSKL
Q9UK32-1|90 kDa ribosomal protein S6 kinase 6p90-RSK 6p90RSK6|p90-RSK 6
Q9UK32-1|Ribosomal S6 kinase 4RSK-4|RSK-4
Q9UK32-1|pp90RSK4|
Q9UK32-2|90 kDa ribosomal protein S6 kinase 6p90RSK6p90-RSK 6|p90RSK6
Q9UK32-2|Ribosomal S6 kinase 4RSK-4|RSK-4
Q9UK32-2|pp90RSK4|
P23443-1|70 kDa ribosomal protein S6 kinase 1P70S6K1p70-S6K 1|P70S6K1
P23443-1|Ribosomal protein S6 kinase I|
P23443-1|Serine/threonine-protein kinase 14A|
P23443-1|p70 ribosomal S6 kinase alphap70 S6 kinase alphap70 S6KAp70 S6K-alpha|p70 S6 kinase alpha
P23443-3|70 kDa ribosomal protein S6 kinase 1P70S6K1p70-S6K 1|P70S6K1
P23443-3|Ribosomal protein S6 kinase I|
P23443-3|Serine/threonine-protein kinase 14A|
P23443-3|p70 ribosomal S6 kinase alphap70 S6KAp70 S6K-alphap70 S6 kinase alpha|p70 S6KA
P23443-5|70 kDa ribosomal protein S6 kinase 1P70S6K1p70-S6K 1|P70S6K1
P23443-5|Ribosomal protein S6 kinase I|
P23443-5|Serine/threonine-protein kinase 14A|
P23443-5|p70 ribosomal S6 kinase alphap70 S6K-alphap70 S6KAp70 S6 kinase alpha|p70 S6K-alpha
P23443-4|70 kDa ribosomal protein S6 kinase 1p70-S6K 1P70S6K1|p70-S6K 1
P23443-4|Ribosomal protein S6 kinase I|
P23443-4|Serine/threonine-protein kinase 14A|
P23443-4|p70 ribosomal S6 kinase alphap70 S6 kinase alphap70 S6KAp70 S6K-alpha|p70 S6 kinase alpha
Q9UBS0-1|70 kDa ribosomal protein S6 kinase 2p70-S6K 2P70S6K2|p70-S6K 2
Q9UBS0-1|S6 kinase-related kinaseSRK|SRK
Q9UBS0-1|Serine/threonine-protein kinase 14B|
Q9UBS0-1|p70 ribosomal S6 kinase betap70-betap70 S6 kinase betap70 S6K-betap70 S6KBS6K-beta|p70-beta
Q9UBS0-2|70 kDa ribosomal protein S6 kinase 2P70S6K2p70-S6K 2|P70S6K2
Q9UBS0-2|S6 kinase-related kinaseSRK|SRK
Q9UBS0-2|Serine/threonine-protein kinase 14B|
Q9UBS0-2|p70 ribosomal S6 kinase betap70 S6 kinase betap70-betap70 S6KBS6K-betap70 S6K-beta|p70 S6 kinase beta
O00141-1|Serum/glucocorticoid-regulated kinase 1|
O00141-2|Serum/glucocorticoid-regulated kinase 1|
O00141-3|Serum/glucocorticoid-regulated kinase 1|
O00141-4|Serum/glucocorticoid-regulated kinase 1|
O00141-5|Serum/glucocorticoid-regulated kinase 1|
Q9HBY8-1|Serum/glucocorticoid-regulated kinase 2|
Q9HBY8-2|Serum/glucocorticoid-regulated kinase 2|
Q9HBY8-3|Serum/glucocorticoid-regulated kinase 2|
Q96BR1-1|Cytokine-independent survival kinase|
Q96BR1-1|Serum/glucocorticoid-regulated kinase 3|
Q96BR1-1|Serum/glucocorticoid-regulated kinase-like|
Q96BR1-2|Cytokine-independent survival kinase|
Q96BR1-2|Serum/glucocorticoid-regulated kinase 3|
Q96BR1-2|Serum/glucocorticoid-regulated kinase-like|
Q9Y2H1-1|NDR2 protein kinase|
Q9Y2H1-1|Nuclear Dbf2-related kinase 2|
Q8TDC3-1|Brain-selective kinase 1|
Q8TDC3-1|Brain-specific serine/threonine-protein kinase 1BR serine/threonine-protein kinase 1|BR serine/threonine-protein kinase 1
Q8TDC3-1|Serine/threonine-protein kinase SAD-B|
Q8TDC3-1|Synapses of Amphids Defective homolog 1SAD1 homologhSAD1|SAD1 homolog
Q8TDC3-2|Brain-selective kinase 1|
Q8TDC3-2|Brain-specific serine/threonine-protein kinase 1BR serine/threonine-protein kinase 1|BR serine/threonine-protein kinase 1
Q8TDC3-2|Serine/threonine-protein kinase SAD-B|
Q8TDC3-2|Synapses of Amphids Defective homolog 1hSAD1SAD1 homolog|hSAD1
Q8TDC3-3|Brain-selective kinase 1|
Q8TDC3-3|Brain-specific serine/threonine-protein kinase 1BR serine/threonine-protein kinase 1|BR serine/threonine-protein kinase 1
Q8TDC3-3|Serine/threonine-protein kinase SAD-B|
Q8TDC3-3|Synapses of Amphids Defective homolog 1SAD1 homologhSAD1|SAD1 homolog
Q8IWQ3-1|Brain-selective kinase 2|
Q8IWQ3-1|Brain-specific serine/threonine-protein kinase 2BR serine/threonine-protein kinase 2|BR serine/threonine-protein kinase 2
Q8IWQ3-1|Serine/threonine-protein kinase 29|
Q8IWQ3-1|Serine/threonine-protein kinase SAD-A|
Q8IWQ3-2|Brain-selective kinase 2|
Q8IWQ3-2|Brain-specific serine/threonine-protein kinase 2BR serine/threonine-protein kinase 2|BR serine/threonine-protein kinase 2
Q8IWQ3-2|Serine/threonine-protein kinase 29|
Q8IWQ3-2|Serine/threonine-protein kinase SAD-A|
Q8IWQ3-3|Brain-selective kinase 2|
Q8IWQ3-3|Brain-specific serine/threonine-protein kinase 2BR serine/threonine-protein kinase 2|BR serine/threonine-protein kinase 2
Q8IWQ3-3|Serine/threonine-protein kinase 29|
Q8IWQ3-3|Serine/threonine-protein kinase SAD-A|
Q8IWQ3-4|Brain-selective kinase 2|
Q8IWQ3-4|Brain-specific serine/threonine-protein kinase 2BR serine/threonine-protein kinase 2|BR serine/threonine-protein kinase 2
Q8IWQ3-4|Serine/threonine-protein kinase 29|
Q8IWQ3-4|Serine/threonine-protein kinase SAD-A|
Q8IWQ3-5|Brain-selective kinase 2|
Q8IWQ3-5|Brain-specific serine/threonine-protein kinase 2BR serine/threonine-protein kinase 2|BR serine/threonine-protein kinase 2
Q8IWQ3-5|Serine/threonine-protein kinase 29|
Q8IWQ3-5|Serine/threonine-protein kinase SAD-A|
Q8IWQ3-6|Brain-selective kinase 2|
Q8IWQ3-6|Brain-specific serine/threonine-protein kinase 2BR serine/threonine-protein kinase 2|BR serine/threonine-protein kinase 2
Q8IWQ3-6|Serine/threonine-protein kinase 29|
Q8IWQ3-6|Serine/threonine-protein kinase SAD-A|
Q8IU85-1|CaM kinase I deltaCaMKI deltaCaMKIDCaM-KI deltaCaM kinase ID|CaMKI delta
Q8IU85-1|CaMKI-like protein kinaseCKLiK|CKLiK
Q8IU85-2|CaM kinase I deltaCaM kinase IDCaMKI deltaCaMKIDCaM-KI delta|CaM kinase ID
Q8IU85-2|CaMKI-like protein kinaseCKLiK|CKLiK
Q96NX5-1|CaM kinase I gammaCaMKIGCaM kinase IGCaM-KI gammaCaMKI gamma|CaMKIG
Q96NX5-1|CaMK-like CREB kinase IIICLICK III|CLICK III
























O14936-1|Calcium/calmodulin-dependent serine protein kinase|
O14936-1|Protein lin-2 homolog|
O14936-2|Calcium/calmodulin-dependent serine protein kinase|
O14936-2|Protein lin-2 homolog|
O14936-3|Calcium/calmodulin-dependent serine protein kinase|
O14936-3|Protein lin-2 homolog|
O14936-4|Calcium/calmodulin-dependent serine protein kinase|
O14936-4|Protein lin-2 homolog|
O14936-6|Calcium/calmodulin-dependent serine protein kinase|
O14936-6|Protein lin-2 homolog|
O14757-1|CHK1 checkpoint homolog|
O14757-1|Cell cycle checkpoint kinase|
O14757-1|Checkpoint kinase-1|
O14757-2|CHK1 checkpoint homolog|
O14757-2|Cell cycle checkpoint kinase|
O14757-2|Checkpoint kinase-1|
O14757-3|CHK1 checkpoint homolog|
O14757-3|Cell cycle checkpoint kinase|
O14757-3|Checkpoint kinase-1|
O96017-1|CHK2 checkpoint homolog|
O96017-1|Cds1 homologhCds1Hucds1|hCds1
O96017-1|Checkpoint kinase 2|
O96017-4|CHK2 checkpoint homolog|
O96017-4|Cds1 homologHucds1hCds1|Hucds1
O96017-4|Checkpoint kinase 2|
O96017-5|CHK2 checkpoint homolog|
O96017-5|Cds1 homologHucds1hCds1|Hucds1
O96017-5|Checkpoint kinase 2|
O96017-6|CHK2 checkpoint homolog|
O96017-6|Cds1 homologHucds1hCds1|Hucds1
O96017-6|Checkpoint kinase 2|
O96017-8|CHK2 checkpoint homolog|
O96017-8|Cds1 homologhCds1Hucds1|hCds1
O96017-8|Checkpoint kinase 2|
O96017-9|CHK2 checkpoint homolog|
O96017-9|Cds1 homologHucds1hCds1|Hucds1
O96017-9|Checkpoint kinase 2|
O96017-12|CHK2 checkpoint homolog|
O96017-12|Cds1 homologhCds1Hucds1|hCds1
O96017-12|Checkpoint kinase 2|
O96017-13|CHK2 checkpoint homolog|
O96017-13|Cds1 homologHucds1hCds1|Hucds1
O96017-13|Checkpoint kinase 2|


Q9UIK4-1|DAP-kinase-related protein 1DRP-1|DRP-1
Q9UIK4-2|DAP-kinase-related protein 1DRP-1|DRP-1
O43293-1|DAP-like kinaseDlk|Dlk
O43293-1|MYPT1 kinase|
O43293-1|Zipper-interacting protein kinaseZIP-kinase|ZIP-kinase
O15075-1|Doublecortin domain-containing protein 3A|
O15075-1|Doublecortin-like and CAM kinase-like 1|
O15075-1|Doublecortin-like kinase 1|
O15075-2|Doublecortin domain-containing protein 3A|
O15075-2|Doublecortin-like and CAM kinase-like 1|
O15075-2|Doublecortin-like kinase 1|
O15075-3|Doublecortin domain-containing protein 3A|
O15075-3|Doublecortin-like and CAM kinase-like 1|
O15075-3|Doublecortin-like kinase 1|
O15075-4|Doublecortin domain-containing protein 3A|
O15075-4|Doublecortin-like and CAM kinase-like 1|
O15075-4|Doublecortin-like kinase 1|
Q8N568-1|CaMK-like CREB regulatory kinase 2CL2CLICK2CLICK-II|CL2
Q8N568-1|Doublecortin domain-containing protein 3B|
Q8N568-1|Doublecortin-like and CAM kinase-like 2|
Q8N568-1|Doublecortin-like kinase 2|
Q8N568-2|CaMK-like CREB regulatory kinase 2CL2CLICK2CLICK-II|CL2
Q8N568-2|Doublecortin domain-containing protein 3B|
Q8N568-2|Doublecortin-like and CAM kinase-like 2|
Q8N568-2|Doublecortin-like kinase 2|
Q8N568-3|CaMK-like CREB regulatory kinase 2CLICK2CL2CLICK-II|CLICK2
Q8N568-3|Doublecortin domain-containing protein 3B|
Q8N568-3|Doublecortin-like and CAM kinase-like 2|
Q8N568-3|Doublecortin-like kinase 2|
O60229-1|Huntingtin-associated protein-interacting protein|
O60229-1|Protein Duo|
O60229-1|Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain|
O60229-2|Huntingtin-associated protein-interacting protein|
O60229-2|Protein Duo|
O60229-2|Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain|
O60229-4|Huntingtin-associated protein-interacting protein|
O60229-4|Protein Duo|
O60229-4|Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain|


Q8IW41-1|p38-regulated/activated protein kinasePRAK|PRAK
Q8IW41-2|p38-regulated/activated protein kinasePRAK|PRAK
Q9P0L2-1|MAP/microtubule affinity-regulating kinase 1|
Q9P0L2-1|PAR1 homolog cPar-1cPar1c|Par-1c
Q9P0L2-3|MAP/microtubule affinity-regulating kinase 1|
Q9P0L2-3|PAR1 homolog cPar1cPar-1c|Par1c
Q7KZI7-1|ELKL motif kinase 1EMK-1|EMK-1
Q7KZI7-1|MAP/microtubule affinity-regulating kinase 2|
Q7KZI7-1|PAR1 homolog|
Q7KZI7-1|PAR1 homolog bPar-1bPar1b|Par-1b
Q7KZI7-5|ELKL motif kinase 1EMK-1|EMK-1
Q7KZI7-5|MAP/microtubule affinity-regulating kinase 2|
Q7KZI7-5|PAR1 homolog|
Q7KZI7-5|PAR1 homolog bPar1bPar-1b|Par1b
Q7KZI7-6|ELKL motif kinase 1EMK-1|EMK-1
Q7KZI7-6|MAP/microtubule affinity-regulating kinase 2|
Q7KZI7-6|PAR1 homolog|
Q7KZI7-6|PAR1 homolog bPar-1bPar1b|Par-1b
Q7KZI7-13|ELKL motif kinase 1EMK-1|EMK-1
Q7KZI7-13|MAP/microtubule affinity-regulating kinase 2|
Q7KZI7-13|PAR1 homolog|
Q7KZI7-13|PAR1 homolog bPar-1bPar1b|Par-1b
Q7KZI7-14|ELKL motif kinase 1EMK-1|EMK-1
Q7KZI7-14|MAP/microtubule affinity-regulating kinase 2|
Q7KZI7-14|PAR1 homolog|
Q7KZI7-14|PAR1 homolog bPar1bPar-1b|Par1b
Q7KZI7-15|ELKL motif kinase 1EMK-1|EMK-1
Q7KZI7-15|MAP/microtubule affinity-regulating kinase 2|
Q7KZI7-15|PAR1 homolog|
Q7KZI7-15|PAR1 homolog bPar-1bPar1b|Par-1b
Q7KZI7-16|ELKL motif kinase 1EMK-1|EMK-1
Q7KZI7-16|MAP/microtubule affinity-regulating kinase 2|
Q7KZI7-16|PAR1 homolog|
Q7KZI7-16|PAR1 homolog bPar-1bPar1b|Par-1b
P27448-5|C-TAK1cTAK1|cTAK1
P27448-5|Cdc25C-associated protein kinase 1|
P27448-5|ELKL motif kinase 2EMK-2|EMK-2
P27448-5|Protein kinase STK10|
P27448-5|Ser/Thr protein kinase PAR-1Par-1a|Par-1a
P27448-5|Serine/threonine-protein kinase p78|
P27448-2|C-TAK1cTAK1|cTAK1
P27448-2|Cdc25C-associated protein kinase 1|
P27448-2|ELKL motif kinase 2EMK-2|EMK-2
P27448-2|Protein kinase STK10|
P27448-2|Ser/Thr protein kinase PAR-1Par-1a|Par-1a
P27448-2|Serine/threonine-protein kinase p78|
P27448-3|C-TAK1cTAK1|cTAK1
P27448-3|Cdc25C-associated protein kinase 1|
P27448-3|ELKL motif kinase 2EMK-2|EMK-2
P27448-3|Protein kinase STK10|
P27448-3|Ser/Thr protein kinase PAR-1Par-1a|Par-1a
P27448-3|Serine/threonine-protein kinase p78|
P27448-4|C-TAK1cTAK1|cTAK1
P27448-4|Cdc25C-associated protein kinase 1|
P27448-4|ELKL motif kinase 2EMK-2|EMK-2
P27448-4|Protein kinase STK10|
P27448-4|Ser/Thr protein kinase PAR-1Par-1a|Par-1a
P27448-4|Serine/threonine-protein kinase p78|
P27448-6|C-TAK1cTAK1|cTAK1
P27448-6|Cdc25C-associated protein kinase 1|
P27448-6|ELKL motif kinase 2EMK-2|EMK-2
P27448-6|Protein kinase STK10|
P27448-6|Ser/Thr protein kinase PAR-1Par-1a|Par-1a
P27448-6|Serine/threonine-protein kinase p78|
P27448-8|C-TAK1cTAK1|cTAK1
P27448-8|Cdc25C-associated protein kinase 1|
P27448-8|ELKL motif kinase 2EMK-2|EMK-2
P27448-8|Protein kinase STK10|
P27448-8|Ser/Thr protein kinase PAR-1Par-1a|Par-1a
P27448-8|Serine/threonine-protein kinase p78|
Q96L34-1|MAP/microtubule affinity-regulating kinase-like 1|
Q96L34-2|MAP/microtubule affinity-regulating kinase-like 1|
Q14680-1|Protein kinase Eg3pEg3 kinase|pEg3 kinase
Q14680-1|Protein kinase PK38hPK38|hPK38
Q14680-1|Tyrosine-protein kinase MELK|
Q14680-2|Protein kinase Eg3pEg3 kinase|pEg3 kinase
Q14680-2|Protein kinase PK38hPK38|hPK38
Q14680-2|Tyrosine-protein kinase MELK|
Q14680-4|Protein kinase Eg3pEg3 kinase|pEg3 kinase
Q14680-4|Protein kinase PK38hPK38|hPK38
Q14680-4|Tyrosine-protein kinase MELK|
Q14680-5|Protein kinase Eg3pEg3 kinase|pEg3 kinase
Q14680-5|Protein kinase PK38hPK38|hPK38
Q14680-5|Tyrosine-protein kinase MELK|
Q14680-6|Protein kinase Eg3pEg3 kinase|pEg3 kinase
Q14680-6|Protein kinase PK38hPK38|hPK38
Q14680-6|Tyrosine-protein kinase MELK|
Q14680-7|Protein kinase Eg3pEg3 kinase|pEg3 kinase
Q14680-7|Protein kinase PK38hPK38|hPK38
Q14680-7|Tyrosine-protein kinase MELK|
Q14680-8|Protein kinase Eg3pEg3 kinase|pEg3 kinase
Q14680-8|Protein kinase PK38hPK38|hPK38
Q14680-8|Tyrosine-protein kinase MELK|
Q9BUB5-1|MAP kinase signal-integrating kinase 1Mnk1MAPK signal-integrating kinase 1|Mnk1
Q9BUB5-2|MAP kinase signal-integrating kinase 1MAPK signal-integrating kinase 1Mnk1|MAPK signal-integrating kinase 1
Q9BUB5-3|MAP kinase signal-integrating kinase 1Mnk1MAPK signal-integrating kinase 1|Mnk1
Q9HBH9-1|MAP kinase signal-integrating kinase 2MAPK signal-integrating kinase 2Mnk2|MAPK signal-integrating kinase 2
Q9HBH9-2|MAP kinase signal-integrating kinase 2Mnk2MAPK signal-integrating kinase 2|Mnk2
Q15746-1|Kinase-related proteinKRP|KRP
Q15746-1|Telokin|
Q15746-2|Kinase-related proteinKRP|KRP
Q15746-2|Telokin|
Q15746-3|Kinase-related proteinKRP|KRP
Q15746-3|Telokin|
Q15746-8|Kinase-related proteinKRP|KRP
Q15746-8|Telokin|
Q15746-10|Kinase-related proteinKRP|KRP
Q15746-10|Telokin|
Q32MK0-3|Cardiac-MyBP-C-associated Ca/CaM kinaseCardiac-MLCK|Cardiac-MLCK
Q32MK0-4|Cardiac-MyBP-C-associated Ca/CaM kinaseCardiac-MLCK|Cardiac-MLCK
Q86YV6-1|Sugen kinase 85SgK085|SgK085
O60285-1|AMPK-related protein kinase 5ARK5|ARK5
O60285-1|Omphalocele kinase 1|
Q5VST9-1|Obscurin-RhoGEF|
Q5VST9-1|Obscurin-myosin light chain kinaseObscurin-MLCK|Obscurin-MLCK
Q5VST9-2|Obscurin-RhoGEF|
Q5VST9-2|Obscurin-myosin light chain kinaseObscurin-MLCK|Obscurin-MLCK
Q5VST9-3|Obscurin-RhoGEF|
Q5VST9-3|Obscurin-myosin light chain kinaseObscurin-MLCK|Obscurin-MLCK
Q5VST9-6|Obscurin-RhoGEF|
Q5VST9-6|Obscurin-myosin light chain kinaseObscurin-MLCK|Obscurin-MLCK



Q16816-1|Phosphorylase kinase subunit gamma-1|
Q16816-1|Serine/threonine-protein kinase PHKG1|
Q16816-2|Phosphorylase kinase subunit gamma-1|
Q16816-2|Serine/threonine-protein kinase PHKG1|
P15735-1|PSK-C3|
P15735-1|Phosphorylase kinase subunit gamma-2|
P15735-2|PSK-C3|
P15735-2|Phosphorylase kinase subunit gamma-2|

Q6P2M8-1|CaM kinase I betaCaM-KI betaCaM kinase IBCaMKI-beta|CaM-KI beta
Q6P2M8-1|Pregnancy up-regulated non-ubiquitously-expressed CaM kinase|
Q6P2M8-2|CaM kinase I betaCaMKI-betaCaM-KI betaCaM kinase IB|CaMKI-beta
Q6P2M8-2|Pregnancy up-regulated non-ubiquitously-expressed CaM kinase|
Q6P2M8-5|CaM kinase I betaCaM kinase IBCaMKI-betaCaM-KI beta|CaM kinase IB
Q6P2M8-5|Pregnancy up-regulated non-ubiquitously-expressed CaM kinase|
Q6P2M8-6|CaM kinase I betaCaM-KI betaCaMKI-betaCaM kinase IB|CaM-KI beta
Q6P2M8-6|Pregnancy up-regulated non-ubiquitously-expressed CaM kinase|
Q13131-1|Acetyl-CoA carboxylase kinaseACACA kinase|ACACA kinase
Q13131-1|Hydroxymethylglutaryl-CoA reductase kinaseHMGCR kinase|HMGCR kinase
Q13131-1|Tau-protein kinase PRKAA1|
Q13131-2|Acetyl-CoA carboxylase kinaseACACA kinase|ACACA kinase
Q13131-2|Hydroxymethylglutaryl-CoA reductase kinaseHMGCR kinase|HMGCR kinase
Q13131-2|Tau-protein kinase PRKAA1|
Q9BZL6-1|nPKC-D2|
Q9BZL6-2|nPKC-D2|
Q9BZL6-3|nPKC-D2|
O94806-1|Protein kinase C nu type|
O94806-1|Protein kinase EPK2|
O94806-1|nPKC-nu|
Q9Y2K2-5|Salt-inducible kinase 3SIK-3|SIK-3
Q9Y2K2-5|Serine/threonine-protein kinase QSK|
Q9Y2K2-8|Salt-inducible kinase 3SIK-3|SIK-3
Q9Y2K2-8|Serine/threonine-protein kinase QSK|
Q9NRH2-1|SNF1-related kinase|
Q15772-5|Aortic preferentially expressed protein 1APEG-1|APEG-1
Q15772-4|Aortic preferentially expressed protein 1APEG-1|APEG-1
Q15831-1|Liver kinase B1hLKB1LKB1|hLKB1
Q15831-1|Renal carcinoma antigen NY-REN-19|
Q15831-2|Liver kinase B1hLKB1LKB1|hLKB1
Q15831-2|Renal carcinoma antigen NY-REN-19|

Q8N2I9-1|SINK-homologous serine/threonine-protein kinase|
